subjectID,system_time_stamp,point_description
2018-06-21_debug1,1529613683322077,Experiment_Start
2018-06-21_debug1,1529613691174436,Practice_1_Training_1_audio
2018-06-21_debug1,1529613693949787,Practice_1_Training_1_video
2018-06-21_debug1,1529613699869410,Practice_1_Training_2_audio
2018-06-21_debug1,1529613702512190,Practice_1_Training_2_video
2018-06-21_debug1,1529613704376419,Practice_1_Training_3_audio
2018-06-21_debug1,1529613707011910,Practice_1_Training_3_video
2018-06-21_debug1,1529613711097659,Practice_1_Training_4_audio
2018-06-21_debug1,1529613713731364,Practice_1_Training_4_video
2018-06-21_debug1,1529613715292657,Practice_1_SameVerbTest_audio
2018-06-21_debug1,1529613717728315,Practice_1_SameVerbTest_left_video
2018-06-21_debug1,1529613723462507,Practice_1_SameVerbTest_right_video
2018-06-21_debug1,1529613727760959,Practice_1_SameVerbTest_compareVideo1_start
2018-06-21_debug1,1529613732578797,Practice_1_SameVerbTest_compareVideo1_still
2018-06-21_debug1,1529613735587540,Practice_1_SameVerbTest_compareVideo1_end
2018-06-21_debug1,1529613736009850,Practice_1_SameVerbTest_compareVideo2_start
2018-06-21_debug1,1529613740837849,Practice_1_SameVerbTest_compareVideo2_still
2018-06-21_debug1,1529613743846788,Practice_1_SameVerbTest_compareVideo2_end
