subjectID,system_time_stamp,point_description
2018-06-22_AdultPilot1,1529673981243764,Experiment_Start
2018-06-22_AdultPilot1,1529673987841447,Practice_1_Training_1_audio
2018-06-22_AdultPilot1,1529673990537749,Practice_1_Training_1_video
2018-06-22_AdultPilot1,1529673996367416,Practice_1_Training_2_audio
2018-06-22_AdultPilot1,1529673999002490,Practice_1_Training_2_video
2018-06-22_AdultPilot1,1529674005575947,Practice_1_Training_3_audio
2018-06-22_AdultPilot1,1529674008214574,Practice_1_Training_3_video
2018-06-22_AdultPilot1,1529674012221234,Practice_1_Training_4_audio
2018-06-22_AdultPilot1,1529674014856198,Practice_1_Training_4_video
2018-06-22_AdultPilot1,1529674020242320,Practice_1_SameVerbTest_audio
2018-06-22_AdultPilot1,1529674022696127,Practice_1_SameVerbTest_left_video
2018-06-22_AdultPilot1,1529674028250809,Practice_1_SameVerbTest_right_video
2018-06-22_AdultPilot1,1529674032552445,Practice_1_SameVerbTest_compareVideo1_start
2018-06-22_AdultPilot1,1529674037355287,Practice_1_SameVerbTest_compareVideo1_still
2018-06-22_AdultPilot1,1529674040368186,Practice_1_SameVerbTest_compareVideo1_end
2018-06-22_AdultPilot1,1529674040777178,Practice_1_SameVerbTest_compareVideo2_start
2018-06-22_AdultPilot1,1529674045594056,Practice_1_SameVerbTest_compareVideo2_still
2018-06-22_AdultPilot1,1529674048603162,Practice_1_SameVerbTest_compareVideo2_end
2018-06-22_AdultPilot1,1529674060006479,1_Ambig_audio_future
2018-06-22_AdultPilot1,1529674064659019,1_Ambig_video
2018-06-22_AdultPilot1,1529674070185175,1_Ambig_audio_past
2018-06-22_AdultPilot1,1529674074197349,1_Training_1_audio_future
2018-06-22_AdultPilot1,1529674078169370,1_Training_1_video
2018-06-22_AdultPilot1,1529674083561853,1_Training_1_audio_past
2018-06-22_AdultPilot1,1529674089241673,1_Training_2_audio_future
2018-06-22_AdultPilot1,1529674092669677,1_Training_2_video
2018-06-22_AdultPilot1,1529674098218001,1_Training_2_audio_past
2018-06-22_AdultPilot1,1529674100464873,1_Training_3_audio_future
2018-06-22_AdultPilot1,1529674104587945,1_Training_3_video
2018-06-22_AdultPilot1,1529674110056454,1_Training_3_audio_past
2018-06-22_AdultPilot1,1529674114691782,1_Training_4_audio_future
2018-06-22_AdultPilot1,1529674117846387,1_Training_4_video
2018-06-22_AdultPilot1,1529674123168377,1_Training_4_audio_past
2018-06-22_AdultPilot1,1529674128211925,1_SameVerbTest_audio_warmup
2018-06-22_AdultPilot1,1529674131270143,1_SameVerbTest_left_video
2018-06-22_AdultPilot1,1529674137284097,1_SameVerbTest_right_video
2018-06-22_AdultPilot1,1529674143374746,1_SameVerbTest_compareVideo1_start
2018-06-22_AdultPilot1,1529674148947381,1_SameVerbTest_compareVideo1_still
2018-06-22_AdultPilot1,1529674151954957,1_SameVerbTest_compareVideo1_end
2018-06-22_AdultPilot1,1529674154947184,1_SameVerbTest_compareVideo2_start
2018-06-22_AdultPilot1,1529674160497955,1_SameVerbTest_compareVideo2_still
2018-06-22_AdultPilot1,1529674163511318,1_SameVerbTest_compareVideo2_end
2018-06-22_AdultPilot1,1529674172852131,2_Ambig_audio_future
2018-06-22_AdultPilot1,1529674177348435,2_Ambig_video
2018-06-22_AdultPilot1,1529674182982754,2_Ambig_audio_past
2018-06-22_AdultPilot1,1529674187212025,2_Training_1_audio_future
2018-06-22_AdultPilot1,1529674190662053,2_Training_1_video
2018-06-22_AdultPilot1,1529674196215746,2_Training_1_audio_past
2018-06-22_AdultPilot1,1529674201641352,2_Training_2_audio_future
2018-06-22_AdultPilot1,1529674205105210,2_Training_2_video
2018-06-22_AdultPilot1,1529674210672933,2_Training_2_audio_past
2018-06-22_AdultPilot1,1529674212874699,2_Training_3_audio_future
2018-06-22_AdultPilot1,1529674217101758,2_Training_3_video
2018-06-22_AdultPilot1,1529674222642685,2_Training_3_audio_past
2018-06-22_AdultPilot1,1529674227258221,2_Training_4_audio_future
2018-06-22_AdultPilot1,1529674230882979,2_Training_4_video
2018-06-22_AdultPilot1,1529674235917053,2_Training_4_audio_past
2018-06-22_AdultPilot1,1529674241128699,2_SameVerbTest_audio_warmup
2018-06-22_AdultPilot1,1529674244083372,2_SameVerbTest_left_video
2018-06-22_AdultPilot1,1529674250312688,2_SameVerbTest_right_video
2018-06-22_AdultPilot1,1529674256597125,2_SameVerbTest_compareVideo1_start
2018-06-22_AdultPilot1,1529674262311683,2_SameVerbTest_compareVideo1_still
2018-06-22_AdultPilot1,1529674265321166,2_SameVerbTest_compareVideo1_end
2018-06-22_AdultPilot1,1529674268355562,2_SameVerbTest_compareVideo2_start
2018-06-22_AdultPilot1,1529674274105258,2_SameVerbTest_compareVideo2_still
2018-06-22_AdultPilot1,1529674277114453,2_SameVerbTest_compareVideo2_end
