subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
2018-06-22_AdultPilot2,1529674247380040,1529674911443451,All_of_Practice_trial_1,1,0.2986322,0.4694552,1,0.3083192,0.4892443
2018-06-22_AdultPilot2,1529674247396666,1529674911460079,All_of_Practice_trial_1,1,0.3164513,0.4542317,1,0.3034132,0.4645112
2018-06-22_AdultPilot2,1529674247413416,1529674911476831,All_of_Practice_trial_1,1,0.3142968,0.481069,1,0.3206161,0.4677563
2018-06-22_AdultPilot2,1529674247430041,1529674911493459,All_of_Practice_trial_1,1,0.2791546,0.4815807,0,NaN,NaN
2018-06-22_AdultPilot2,1529674247446666,1529674911510086,All_of_Practice_trial_1,1,0.306029,0.4546072,1,0.3297398,0.4632733
2018-06-22_AdultPilot2,1529674247463290,1529674911526713,All_of_Practice_trial_1,1,0.3216698,0.4291377,1,0.3165856,0.5214841
2018-06-22_AdultPilot2,1529674247479911,1529674911543336,All_of_Practice_trial_1,1,0.3094176,0.45557,1,0.3228143,0.4613779
2018-06-22_AdultPilot2,1529674247496665,1529674911560092,All_of_Practice_trial_1,1,0.2909707,0.4645788,1,0.3222118,0.4581818
2018-06-22_AdultPilot2,1529674247513288,1529674911576718,All_of_Practice_trial_1,1,0.3093979,0.4517645,1,0.3102984,0.4906721
2018-06-22_AdultPilot2,1529674247529915,1529674911593347,All_of_Practice_trial_1,1,0.3022704,0.4616863,1,0.3166767,0.4504423
2018-06-22_AdultPilot2,1529674247546539,1529674911609974,All_of_Practice_trial_1,1,0.294448,0.4591543,1,0.3094202,0.5050222
2018-06-22_AdultPilot2,1529674247563162,1529674911626599,All_of_Practice_trial_1,1,0.2922341,0.4767134,1,0.3057125,0.5302641
2018-06-22_AdultPilot2,1529674247579912,1529674911643352,All_of_Practice_trial_1,1,0.3114823,0.4827192,1,0.3304387,0.4601774
2018-06-22_AdultPilot2,1529674247596537,1529674911659979,All_of_Practice_trial_1,1,0.3180589,0.4534763,1,0.3154447,0.4354248
2018-06-22_AdultPilot2,1529674247613161,1529674911676606,All_of_Practice_trial_1,1,0.3096652,0.4399581,1,0.3274915,0.4729399
2018-06-22_AdultPilot2,1529674247629787,1529674911693234,All_of_Practice_trial_1,1,0.3123227,0.4456179,1,0.3136933,0.4695687
2018-06-22_AdultPilot2,1529674247646411,1529674911709861,All_of_Practice_trial_1,1,0.3022824,0.4970173,1,0.3173095,0.5295475
2018-06-22_AdultPilot2,1529674247663161,1529674911726613,All_of_Practice_trial_1,1,0.3243287,0.4258244,1,0.3118987,0.5216905
2018-06-22_AdultPilot2,1529674247679785,1529674911743239,All_of_Practice_trial_1,1,0.3034214,0.4919496,1,0.3170186,0.4649641
2018-06-22_AdultPilot2,1529674247696404,1529674911759861,All_of_Practice_trial_1,1,0.3108492,0.4207205,1,0.323393,0.4759731
2018-06-22_AdultPilot2,1529674247713035,1529674911776494,All_of_Practice_trial_1,1,0.3130561,0.443141,1,0.3272534,0.484278
2018-06-22_AdultPilot2,1529674247729785,1529674911793247,All_of_Practice_trial_1,1,0.3065484,0.4710276,1,0.329155,0.4602542
2018-06-22_AdultPilot2,1529674247746402,1529674911809866,All_of_Practice_trial_1,1,0.2900054,0.450567,1,0.3219839,0.4405048
2018-06-22_AdultPilot2,1529674247763032,1529674911826499,All_of_Practice_trial_1,1,0.3087901,0.4537172,1,0.3242027,0.4591496
2018-06-22_AdultPilot2,1529674247779671,1529674911843140,All_of_Practice_trial_1,1,0.3238582,0.4354057,1,0.3381574,0.4474544
2018-06-22_AdultPilot2,1529674247796284,1529674911859756,All_of_Practice_trial_1,1,0.2950809,0.4852886,1,0.3440731,0.4845572
2018-06-22_AdultPilot2,1529674247813032,1529674911876506,All_of_Practice_trial_1,1,0.2969838,0.4455201,1,0.3258448,0.4864755
2018-06-22_AdultPilot2,1529674247829669,1529674911893146,All_of_Practice_trial_1,1,0.3231042,0.4501743,1,0.3224499,0.5038859
2018-06-22_AdultPilot2,1529674247846281,1529674911909760,All_of_Practice_trial_1,1,0.3145012,0.4613347,1,0.3124933,0.4615911
2018-06-22_AdultPilot2,1529674247862906,1529674911926388,All_of_Practice_trial_1,1,0.2981869,0.4655951,1,0.3463889,0.4787894
2018-06-22_AdultPilot2,1529674247879531,1529674911943015,All_of_Practice_trial_1,1,0.3173438,0.416826,1,0.3423211,0.4729635
2018-06-22_AdultPilot2,1529674247896281,1529674911959768,All_of_Practice_trial_1,1,0.3219665,0.4264297,1,0.3412675,0.4687005
2018-06-22_AdultPilot2,1529674247912905,1529674911976393,All_of_Practice_trial_1,1,0.3931231,0.4438731,1,0.4328231,0.4832044
2018-06-22_AdultPilot2,1529674247929527,1529674911993018,All_of_Practice_trial_1,1,0.4986944,0.4387882,1,0.5163447,0.4992592
2018-06-22_AdultPilot2,1529674247946277,1529674912009771,All_of_Practice_trial_1,1,0.4759432,0.4965573,1,0.498922,0.467359
2018-06-22_AdultPilot2,1529674247962901,1529674912026397,All_of_Practice_trial_1,1,0.4815811,0.5044405,1,0.5046717,0.5043283
2018-06-22_AdultPilot2,1529674247979526,1529674912043024,All_of_Practice_trial_1,1,0.4862272,0.4650379,1,0.5253245,0.4716029
2018-06-22_AdultPilot2,1529674247996152,1529674912059653,All_of_Practice_trial_1,1,0.4834982,0.4817512,1,0.4635901,0.5222167
2018-06-22_AdultPilot2,1529674248012773,1529674912076276,All_of_Practice_trial_1,1,0.4762138,0.4874471,1,0.4919148,0.5027859
2018-06-22_AdultPilot2,1529674248029526,1529674912093032,All_of_Practice_trial_1,1,0.4659342,0.4906957,1,0.508086,0.456576
2018-06-22_AdultPilot2,1529674248046152,1529674912109660,All_of_Practice_trial_1,1,0.495199,0.4799283,1,0.5150812,0.5048447
2018-06-22_AdultPilot2,1529674248062777,1529674912126288,All_of_Practice_trial_1,1,0.4724061,0.4651031,1,0.5022978,0.4592523
2018-06-22_AdultPilot2,1529674248079401,1529674912142914,All_of_Practice_trial_1,1,0.4633052,0.4852871,1,0.5066642,0.5018025
2018-06-22_AdultPilot2,1529674248096151,1529674912159667,All_of_Practice_trial_1,1,0.5029745,0.4413942,1,0.50335,0.4738021
2018-06-22_AdultPilot2,1529674248112777,1529674912176295,All_of_Practice_trial_1,1,0.5038652,0.4861454,1,0.5030043,0.5165576
2018-06-22_AdultPilot2,1529674248129396,1529674912192917,All_of_Practice_trial_1,1,0.4873984,0.4851154,1,0.5072839,0.5112254
2018-06-22_AdultPilot2,1529674248146021,1529674912209544,All_of_Practice_trial_1,1,0.4994818,0.4589643,1,0.5093014,0.505088
2018-06-22_AdultPilot2,1529674248162648,1529674912226173,All_of_Practice_trial_1,1,0.4736674,0.4826211,1,0.5041351,0.5021054
2018-06-22_AdultPilot2,1529674248179405,1529674912242933,All_of_Practice_trial_1,1,0.4899309,0.4855397,1,0.4804607,0.5353246
2018-06-22_AdultPilot2,1529674248196022,1529674912259552,All_of_Practice_trial_1,1,0.4801843,0.4816277,1,0.5109921,0.4711345
2018-06-22_AdultPilot2,1529674248212655,1529674912276188,All_of_Practice_trial_1,1,0.4806993,0.4902543,1,0.5205947,0.5135448
2018-06-22_AdultPilot2,1529674248229271,1529674912292806,All_of_Practice_trial_1,1,0.4825971,0.4715427,1,0.4947998,0.5154092
2018-06-22_AdultPilot2,1529674248245896,1529674912309434,All_of_Practice_trial_1,1,0.4879285,0.4887374,1,0.5165175,0.4691024
2018-06-22_AdultPilot2,1529674248262652,1529674912326192,All_of_Practice_trial_1,1,0.5205222,0.4515601,1,0.4956821,0.4898496
2018-06-22_AdultPilot2,1529674248279271,1529674912342814,All_of_Practice_trial_1,1,0.4724968,0.4866372,1,0.4982781,0.5347831
2018-06-22_AdultPilot2,1529674248295891,1529674912359436,All_of_Practice_trial_1,1,0.4742985,0.4981174,1,0.5139748,0.5391213
