subjectID,system_time_stamp,point_description
2018-06-25_OliviaNotLooking1,1529950844693867,Experiment_Start
2018-06-25_OliviaNotLooking1,1529950851566973,Practice_1_Training_1_audio
2018-06-25_OliviaNotLooking1,1529950854282849,Practice_1_Training_1_video
2018-06-25_OliviaNotLooking1,1529950860532251,Practice_1_Training_2_audio
2018-06-25_OliviaNotLooking1,1529950863269811,Practice_1_Training_2_video
2018-06-25_OliviaNotLooking1,1529950870373799,Practice_1_Training_3_audio
2018-06-25_OliviaNotLooking1,1529950873024216,Practice_1_Training_3_video
2018-06-25_OliviaNotLooking1,1529950877309328,Practice_1_Training_4_audio
2018-06-25_OliviaNotLooking1,1529950879960170,Practice_1_Training_4_video
2018-06-25_OliviaNotLooking1,1529950885610769,Practice_1_SameVerbTest_audio
2018-06-25_OliviaNotLooking1,1529950888058004,Practice_1_SameVerbTest_left_video
2018-06-25_OliviaNotLooking1,1529950893985934,Practice_1_SameVerbTest_right_video
2018-06-25_OliviaNotLooking1,1529950898510556,Practice_1_SameVerbTest_compareVideo1_start
2018-06-25_OliviaNotLooking1,1529950903432595,Practice_1_SameVerbTest_compareVideo1_still
2018-06-25_OliviaNotLooking1,1529950906440132,Practice_1_SameVerbTest_compareVideo1_end
2018-06-25_OliviaNotLooking1,1529950907235730,Practice_1_SameVerbTest_compareVideo2_start
2018-06-25_OliviaNotLooking1,1529950912099211,Practice_1_SameVerbTest_compareVideo2_still
2018-06-25_OliviaNotLooking1,1529950915110483,Practice_1_SameVerbTest_compareVideo2_end
2018-06-25_OliviaNotLooking1,1529950923953224,1_Ambig_audio_future
2018-06-25_OliviaNotLooking1,1529950928458871,1_Ambig_video
2018-06-25_OliviaNotLooking1,1529950933547953,1_Ambig_audio_past
2018-06-25_OliviaNotLooking1,1529950938135563,1_Training_1_audio_future
2018-06-25_OliviaNotLooking1,1529950941550240,1_Training_1_video
2018-06-25_OliviaNotLooking1,1529950943711805,1_Training_1_audio_past
2018-06-25_OliviaNotLooking1,1529950949175264,1_Training_2_audio_future
2018-06-25_OliviaNotLooking1,1529950952701608,1_Training_2_video
2018-06-25_OliviaNotLooking1,1529950957826137,1_Training_2_audio_past
2018-06-25_OliviaNotLooking1,1529950960416812,1_Training_3_audio_future
2018-06-25_OliviaNotLooking1,1529950964601280,1_Training_3_video
2018-06-25_OliviaNotLooking1,1529950969701014,1_Training_3_audio_past
2018-06-25_OliviaNotLooking1,1529950975201025,1_Training_4_audio_future
2018-06-25_OliviaNotLooking1,1529950978496115,1_Training_4_video
2018-06-25_OliviaNotLooking1,1529950983573665,1_Training_4_audio_past
2018-06-25_OliviaNotLooking1,1529950989480172,1_SameVerbTest_audio_warmup
2018-06-25_OliviaNotLooking1,1529950992540522,1_SameVerbTest_left_video
2018-06-25_OliviaNotLooking1,1529950998283920,1_SameVerbTest_right_video
2018-06-25_OliviaNotLooking1,1529951004008599,1_SameVerbTest_compareVideo1_start
2018-06-25_OliviaNotLooking1,1529951009206745,1_SameVerbTest_compareVideo1_still
2018-06-25_OliviaNotLooking1,1529951012222767,1_SameVerbTest_compareVideo1_end
2018-06-25_OliviaNotLooking1,1529951015365493,1_SameVerbTest_compareVideo2_start
2018-06-25_OliviaNotLooking1,1529951020538359,1_SameVerbTest_compareVideo2_still
2018-06-25_OliviaNotLooking1,1529951023545621,1_SameVerbTest_compareVideo2_end
2018-06-25_OliviaNotLooking1,1529951036048810,2_Ambig_audio_future
2018-06-25_OliviaNotLooking1,1529951040498037,2_Ambig_video
2018-06-25_OliviaNotLooking1,1529951045618728,2_Ambig_audio_past
2018-06-25_OliviaNotLooking1,1529951050157466,2_Training_1_audio_future
2018-06-25_OliviaNotLooking1,1529951054374823,2_Training_1_video
2018-06-25_OliviaNotLooking1,1529951059478189,2_Training_1_audio_past
2018-06-25_OliviaNotLooking1,1529951065467467,2_Training_2_audio_future
2018-06-25_OliviaNotLooking1,1529951068851283,2_Training_2_video
2018-06-25_OliviaNotLooking1,1529951073948914,2_Training_2_audio_past
2018-06-25_OliviaNotLooking1,1529951076587198,2_Training_3_audio_future
2018-06-25_OliviaNotLooking1,1529951080789893,2_Training_3_video
2018-06-25_OliviaNotLooking1,1529951085886027,2_Training_3_audio_past
2018-06-25_OliviaNotLooking1,1529951091344244,2_Training_4_audio_future
2018-06-25_OliviaNotLooking1,1529951094718166,2_Training_4_video
2018-06-25_OliviaNotLooking1,1529951099795184,2_Training_4_audio_past
2018-06-25_OliviaNotLooking1,1529951105252005,2_SameVerbTest_audio_warmup
2018-06-25_OliviaNotLooking1,1529951108276554,2_SameVerbTest_left_video
2018-06-25_OliviaNotLooking1,1529951113942844,2_SameVerbTest_right_video
2018-06-25_OliviaNotLooking1,1529951119656307,2_SameVerbTest_compareVideo1_start
2018-06-25_OliviaNotLooking1,1529951124838512,2_SameVerbTest_compareVideo1_still
2018-06-25_OliviaNotLooking1,1529951127845185,2_SameVerbTest_compareVideo1_end
2018-06-25_OliviaNotLooking1,1529951130671609,2_SameVerbTest_compareVideo2_start
2018-06-25_OliviaNotLooking1,1529951135834320,2_SameVerbTest_compareVideo2_still
2018-06-25_OliviaNotLooking1,1529951138851229,2_SameVerbTest_compareVideo2_end
2018-06-25_OliviaNotLooking1,1529951153928239,5_Ambig_audio_future
2018-06-25_OliviaNotLooking1,1529951158325398,5_Ambig_video
2018-06-25_OliviaNotLooking1,1529951163410979,5_Ambig_audio_past
2018-06-25_OliviaNotLooking1,1529951167812549,5_Bias_audio_warmup
2018-06-25_OliviaNotLooking1,1529951170797551,5_Bias_left_video
2018-06-25_OliviaNotLooking1,1529951176488816,5_Bias_right_video
2018-06-25_OliviaNotLooking1,1529951182217190,5_Bias_compareVideo1_start
