subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
2018-07-02_OliviaLosingAttention,1530557667282473,1530558390925776,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667299595,1530558390942901,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667316962,1530558390960270,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667334338,1530558390977648,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667349098,1530558390992410,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667365728,1530558391009043,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667382473,1530558391025790,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667399103,1530558391042421,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667415730,1530558391059051,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667432349,1530558391075672,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667449471,1530558391092796,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667466836,1530558391110164,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667484211,1530558391127540,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667498972,1530558391142304,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667515597,1530558391158931,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667532347,1530558391175683,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667548983,1530558391192321,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667565606,1530558391208946,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667582222,1530558391225565,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667599348,1530558391242693,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667616712,1530558391260059,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667633961,1530558391277310,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667648845,1530558391292196,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667665467,1530558391308821,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667682220,1530558391325576,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-02_OliviaLosingAttention,1530557667698845,1530558391342203,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
