subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
2018-07-05_ChildPilot1_x2,1530799251195441,1530799927619548,All_of_Main_trial_8,1,0.8431332,0.5072642,1,0.8575675,0.5832815
2018-07-05_ChildPilot1_x2,1530799251212064,1530799927636173,All_of_Main_trial_8,1,0.8429453,0.5079497,1,0.8583603,0.5811839
2018-07-05_ChildPilot1_x2,1530799251228690,1530799927652802,All_of_Main_trial_8,1,0.8350211,0.5182868,1,0.8607951,0.5680363
2018-07-05_ChildPilot1_x2,1530799251245440,1530799927669554,All_of_Main_trial_8,1,0.8324253,0.5063046,1,0.8653479,0.5639364
2018-07-05_ChildPilot1_x2,1530799251262065,1530799927686181,All_of_Main_trial_8,1,0.8366986,0.5135219,1,0.8639061,0.568145
2018-07-05_ChildPilot1_x2,1530799251278691,1530799927702809,All_of_Main_trial_8,1,0.8416814,0.4985045,1,0.860072,0.5640757
2018-07-05_ChildPilot1_x2,1530799251295441,1530799927719561,All_of_Main_trial_8,1,0.8420067,0.4983102,1,0.8619277,0.5655249
2018-07-05_ChildPilot1_x2,1530799251311941,1530799927736063,All_of_Main_trial_8,1,0.8353024,0.5088247,1,0.8655127,0.5613974
2018-07-05_ChildPilot1_x2,1530799251328568,1530799927752692,All_of_Main_trial_8,1,0.8402346,0.5037597,1,0.8640613,0.5646601
2018-07-05_ChildPilot1_x2,1530799251345191,1530799927769317,All_of_Main_trial_8,1,0.844002,0.497959,1,0.8679084,0.5567088
2018-07-05_ChildPilot1_x2,1530799251361817,1530799927785946,All_of_Main_trial_8,1,0.8441774,0.4952193,1,0.8626368,0.5601041
2018-07-05_ChildPilot1_x2,1530799251378567,1530799927802698,All_of_Main_trial_8,1,0.8443527,0.4924796,1,0.8634443,0.5596399
2018-07-05_ChildPilot1_x2,1530799251395190,1530799927819323,All_of_Main_trial_8,1,0.8355201,0.492425,1,0.8606939,0.5661645
2018-07-05_ChildPilot1_x2,1530799251411815,1530799927835950,All_of_Main_trial_8,1,0.844587,0.4857528,1,0.8561881,0.566082
