subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
2018-07-19_timed_notraining,1532009482066913,1532010165665205,All_of_Practice_trial_1,1,0.4910031,0.449818,1,0.3308775,0.428627
2018-07-19_timed_notraining,1532009482083536,1532010165681830,All_of_Practice_trial_1,1,0.4862103,0.4565333,1,0.3272438,0.4312704
2018-07-19_timed_notraining,1532009482100289,1532010165698585,All_of_Practice_trial_1,1,0.4892879,0.4490625,1,0.3300495,0.4390379
2018-07-19_timed_notraining,1532009482116912,1532010165715210,All_of_Practice_trial_1,1,0.4852588,0.4649303,1,0.3316708,0.4354716
2018-07-19_timed_notraining,1532009482133537,1532010165731836,All_of_Practice_trial_1,1,0.4844961,0.4642847,1,0.3301789,0.4395753
2018-07-19_timed_notraining,1532009482150169,1532010165748469,All_of_Practice_trial_1,1,0.4857314,0.4551185,1,0.3310709,0.4287538
2018-07-19_timed_notraining,1532009482166787,1532010165765089,All_of_Practice_trial_1,1,0.4862975,0.4605112,1,0.3328384,0.4325604
2018-07-19_timed_notraining,1532009482183535,1532010165781838,All_of_Practice_trial_1,1,0.4845164,0.4679802,1,0.3293888,0.4424471
2018-07-19_timed_notraining,1532009482200163,1532010165798468,All_of_Practice_trial_1,1,0.4862748,0.4632838,1,0.3348024,0.4353842
2018-07-19_timed_notraining,1532009482216787,1532010165815094,All_of_Practice_trial_1,1,0.4845541,0.4622568,1,0.3265569,0.4288665
2018-07-19_timed_notraining,1532009482233411,1532010165831720,All_of_Practice_trial_1,1,0.4850042,0.4625221,1,0.3330996,0.4431091
2018-07-19_timed_notraining,1532009482250161,1532010165848471,All_of_Practice_trial_1,1,0.4875028,0.4612398,1,0.3373573,0.4344418
2018-07-19_timed_notraining,1532009482266786,1532010165865097,All_of_Practice_trial_1,1,0.4829973,0.4595622,1,0.3310538,0.4460698
2018-07-19_timed_notraining,1532009482283412,1532010165881725,All_of_Practice_trial_1,1,0.4865193,0.4709193,1,0.3347548,0.4315972
2018-07-19_timed_notraining,1532009482300037,1532010165898352,All_of_Practice_trial_1,1,0.4820571,0.4730998,1,0.3307611,0.4378767
2018-07-19_timed_notraining,1532009482316662,1532010165914979,All_of_Practice_trial_1,1,0.4857371,0.4638585,1,0.3343891,0.4364187
2018-07-19_timed_notraining,1532009482333412,1532010165931730,All_of_Practice_trial_1,1,0.4879548,0.4654992,1,0.3263522,0.4376757
2018-07-19_timed_notraining,1532009482350037,1532010165948357,All_of_Practice_trial_1,1,0.4784671,0.4735686,1,0.3285118,0.4395719
2018-07-19_timed_notraining,1532009482366661,1532010165964983,All_of_Practice_trial_1,1,0.4844573,0.4660221,1,0.3340202,0.4437764
2018-07-19_timed_notraining,1532009482383286,1532010165981608,All_of_Practice_trial_1,1,0.4903149,0.4668291,1,0.3248311,0.4425306
2018-07-19_timed_notraining,1532009482400036,1532010165998360,All_of_Practice_trial_1,1,0.4844677,0.468456,1,0.3258278,0.4429776
2018-07-19_timed_notraining,1532009482416661,1532010166014987,All_of_Practice_trial_1,1,0.4870696,0.4697759,1,0.3304836,0.4383157
2018-07-19_timed_notraining,1532009482433286,1532010166031614,All_of_Practice_trial_1,1,0.4797722,0.4642392,1,0.3259931,0.4338332
2018-07-19_timed_notraining,1532009482449911,1532010166048240,All_of_Practice_trial_1,1,0.4889808,0.4630398,1,0.327522,0.4430802
2018-07-19_timed_notraining,1532009482466538,1532010166064869,All_of_Practice_trial_1,1,0.4883499,0.4708014,1,0.3204998,0.4434023
2018-07-19_timed_notraining,1532009482483297,1532010166081630,All_of_Practice_trial_1,1,0.4918932,0.4706942,1,0.3278885,0.4360126
2018-07-19_timed_notraining,1532009482499919,1532010166098253,All_of_Practice_trial_1,1,0.4939226,0.4733793,1,0.3317591,0.4402135
2018-07-19_timed_notraining,1532009482516538,1532010166114874,All_of_Practice_trial_1,1,0.4892904,0.4722461,1,0.3261951,0.435912
2018-07-19_timed_notraining,1532009482533160,1532010166131497,All_of_Practice_trial_1,1,0.4865375,0.4719483,1,0.3287652,0.4400085
2018-07-19_timed_notraining,1532009482549786,1532010166148125,All_of_Practice_trial_1,1,0.4839046,0.4754761,1,0.3262347,0.4389961
2018-07-19_timed_notraining,1532009482566536,1532010166164877,All_of_Practice_trial_1,1,0.4877086,0.4638574,1,0.3203783,0.4388351
2018-07-19_timed_notraining,1532009482583161,1532010166181504,All_of_Practice_trial_1,1,0.4874144,0.4647587,1,0.3307735,0.4394673
2018-07-19_timed_notraining,1532009482599786,1532010166198130,All_of_Practice_trial_1,1,0.4910966,0.4749088,1,0.3232309,0.4394446
2018-07-19_timed_notraining,1532009482616413,1532010166214758,All_of_Practice_trial_1,1,0.4837802,0.4666122,1,0.3292576,0.4365965
2018-07-19_timed_notraining,1532009482633162,1532010166231509,All_of_Practice_trial_1,1,0.490347,0.4721621,1,0.3237516,0.4331407
2018-07-19_timed_notraining,1532009482649787,1532010166248136,All_of_Practice_trial_1,1,0.4900467,0.471975,1,0.3316153,0.4338082
2018-07-19_timed_notraining,1532009482666411,1532010166264761,All_of_Practice_trial_1,1,0.4880195,0.4559838,1,0.3218931,0.4302267
2018-07-19_timed_notraining,1532009482683037,1532010166281389,All_of_Practice_trial_1,1,0.4789862,0.4686916,1,0.3252756,0.4313218
2018-07-19_timed_notraining,1532009482699662,1532010166298015,All_of_Practice_trial_1,1,0.485913,0.468797,1,0.3289256,0.4380623
2018-07-19_timed_notraining,1532009482716412,1532010166314767,All_of_Practice_trial_1,1,0.4781186,0.4797731,1,0.3266273,0.4308276
2018-07-19_timed_notraining,1532009482733036,1532010166331393,All_of_Practice_trial_1,1,0.4862618,0.4664051,1,0.331941,0.4327451
2018-07-19_timed_notraining,1532009482749661,1532010166348019,All_of_Practice_trial_1,1,0.4902847,0.4674471,1,0.3279029,0.4342941
2018-07-19_timed_notraining,1532009482766298,1532010166364658,All_of_Practice_trial_1,1,0.4850487,0.4732831,1,0.3266625,0.4300066
2018-07-19_timed_notraining,1532009482783037,1532010166381398,All_of_Practice_trial_1,1,0.4828308,0.4690708,1,0.3306681,0.4409961
2018-07-19_timed_notraining,1532009482799661,1532010166398024,All_of_Practice_trial_1,1,0.4859814,0.4614986,1,0.3344355,0.4387257
2018-07-19_timed_notraining,1532009482816301,1532010166414666,All_of_Practice_trial_1,1,0.4852832,0.4686693,1,0.3340082,0.4377137
2018-07-19_timed_notraining,1532009482832912,1532010166431278,All_of_Practice_trial_1,1,0.3896516,0.3582654,1,0.2673782,0.3317428
2018-07-19_timed_notraining,1532009482849536,1532010166447904,All_of_Practice_trial_1,1,0.2941631,0.2160348,1,0.165258,0.1882154
2018-07-19_timed_notraining,1532009482866287,1532010166464656,All_of_Practice_trial_1,1,0.2267746,0.1758621,1,0.07544307,0.1494991
2018-07-19_timed_notraining,1532009482882912,1532010166481283,All_of_Practice_trial_1,1,0.1970963,0.1444137,1,0.04697367,0.1070815
2018-07-19_timed_notraining,1532009482899538,1532010166497910,All_of_Practice_trial_1,1,0.2105681,0.1510177,1,0.04915478,0.1086293
2018-07-19_timed_notraining,1532009482916160,1532010166514534,All_of_Practice_trial_1,1,0.215049,0.1479999,1,0.04157613,0.1017055
2018-07-19_timed_notraining,1532009482932911,1532010166531287,All_of_Practice_trial_1,1,0.2108137,0.142939,1,0.0454017,0.104014
2018-07-19_timed_notraining,1532009482949536,1532010166547914,All_of_Practice_trial_1,1,0.2089721,0.1475361,1,0.04478736,0.1061187
2018-07-19_timed_notraining,1532009482966161,1532010166564540,All_of_Practice_trial_1,1,0.2064403,0.1446601,1,0.0455823,0.1023066
2018-07-19_timed_notraining,1532009482982787,1532010166581167,All_of_Practice_trial_1,1,0.205482,0.1510693,1,0.04391424,0.09983724
2018-07-19_timed_notraining,1532009482999412,1532010166597794,All_of_Practice_trial_1,1,0.1493039,0.1080681,1,-0.00384249,0.04345596
2018-07-19_timed_notraining,1532009483016162,1532010166614546,All_of_Practice_trial_1,1,0.1565695,0.05971214,1,-0.02533849,0.001674231
2018-07-19_timed_notraining,1532009483032787,1532010166631172,All_of_Practice_trial_1,1,0.1513127,0.06148486,1,-0.0128044,0.003185818
2018-07-19_timed_notraining,1532009483049412,1532010166647799,All_of_Practice_trial_1,1,0.1514333,0.0605788,1,-0.01955546,0.003670961
2018-07-19_timed_notraining,1532009483066038,1532010166664426,All_of_Practice_trial_1,1,0.1477131,0.05963046,1,-0.02116412,-0.001054523
2018-07-19_timed_notraining,1532009483082791,1532010166681181,All_of_Practice_trial_1,1,0.1470086,0.05881219,1,-0.0218734,0.0125351
2018-07-19_timed_notraining,1532009483099411,1532010166697802,All_of_Practice_trial_1,1,0.1468528,0.05557347,1,-0.02003532,0.005093601
2018-07-19_timed_notraining,1532009483116036,1532010166714429,All_of_Practice_trial_1,1,0.1484836,0.05668275,1,-0.01890909,0.01795502
2018-07-19_timed_notraining,1532009483132661,1532010166731055,All_of_Practice_trial_1,1,0.1433,0.06151728,1,-0.01699197,0.0102975
2018-07-19_timed_notraining,1532009483149286,1532010166747682,All_of_Practice_trial_1,1,0.1461278,0.06636611,1,-0.02415651,-0.003352441
2018-07-19_timed_notraining,1532009483166037,1532010166764435,All_of_Practice_trial_1,1,0.1483384,0.0553695,1,-0.01992315,0.01028724
2018-07-19_timed_notraining,1532009483182661,1532010166781061,All_of_Practice_trial_1,1,0.1489366,0.06757848,1,-0.02228432,0.009792988
2018-07-19_timed_notraining,1532009483199287,1532010166797688,All_of_Practice_trial_1,1,0.1501748,0.0571796,1,-0.02622296,0.00115818
2018-07-19_timed_notraining,1532009483215912,1532010166814314,All_of_Practice_trial_1,1,0.1514206,0.06147067,1,-0.02887852,-0.002277852
2018-07-19_timed_notraining,1532009483232662,1532010166831066,All_of_Practice_trial_1,1,0.1483701,0.06328459,1,-0.02068367,0.002670473
2018-07-19_timed_notraining,1532009483249288,1532010166847694,All_of_Practice_trial_1,1,0.1510341,0.06024773,1,-0.02656128,0.001156682
2018-07-19_timed_notraining,1532009483265913,1532010166864320,All_of_Practice_trial_1,1,0.1454521,0.0567519,1,-0.0200687,0.006134959
2018-07-19_timed_notraining,1532009483282536,1532010166880945,All_of_Practice_trial_1,1,0.146567,0.0646976,1,-0.01854344,0.004191559
2018-07-19_timed_notraining,1532009483299161,1532010166897572,All_of_Practice_trial_1,1,0.150732,0.06037811,1,-0.021773,0.01057437
2018-07-19_timed_notraining,1532009483315911,1532010166914323,All_of_Practice_trial_1,1,0.1461659,0.06312536,1,-0.01809456,0.01053492
2018-07-19_timed_notraining,1532009483332537,1532010166930950,All_of_Practice_trial_1,1,0.1491695,0.07330174,1,-0.01963359,0.009240077
2018-07-19_timed_notraining,1532009483349161,1532010166947576,All_of_Practice_trial_1,1,0.1612116,0.06165661,1,-0.02365271,0.0003984447
2018-07-19_timed_notraining,1532009483365787,1532010166964204,All_of_Practice_trial_1,1,0.1488204,0.04966358,1,-0.02409763,-0.0005841578
2018-07-19_timed_notraining,1532009483382537,1532010166980955,All_of_Practice_trial_1,1,0.1538035,0.06398831,1,-0.0227077,0.001458451
2018-07-19_timed_notraining,1532009483399162,1532010166997582,All_of_Practice_trial_1,1,0.1526273,0.0625101,1,-0.02290008,0.005186033
2018-07-19_timed_notraining,1532009483415800,1532010167014221,All_of_Practice_trial_1,1,0.1502039,0.05961792,1,-0.01789953,0.0183434
2018-07-19_timed_notraining,1532009483432412,1532010167030835,All_of_Practice_trial_1,1,0.1552341,0.06069351,1,-0.02491178,-0.001298979
2018-07-19_timed_notraining,1532009483449038,1532010167047462,All_of_Practice_trial_1,1,0.1559859,0.0678078,1,-0.02172627,0.005283509
2018-07-19_timed_notraining,1532009483465786,1532010167064212,All_of_Practice_trial_1,1,0.1541321,0.05695016,1,-0.01911034,0.005385187
2018-07-19_timed_notraining,1532009483482411,1532010167080839,All_of_Practice_trial_1,1,0.1601102,0.05500922,1,-0.02286005,0.0001384597
2018-07-19_timed_notraining,1532009483499036,1532010167097465,All_of_Practice_trial_1,1,0.1654591,0.07413121,1,-0.0203984,0.01073304
2018-07-19_timed_notraining,1532009483515662,1532010167114093,All_of_Practice_trial_1,1,0.1557634,0.05122596,1,-0.02273195,0.0004963574
2018-07-19_timed_notraining,1532009483532412,1532010167130845,All_of_Practice_trial_1,1,0.156966,0.06213523,1,-0.01662183,0.002391827
2018-07-19_timed_notraining,1532009483549043,1532010167147477,All_of_Practice_trial_1,1,0.1592642,0.0528132,1,-0.01805993,0.009077518
2018-07-19_timed_notraining,1532009483565663,1532010167164098,All_of_Practice_trial_1,1,0.1569318,0.0510212,1,-0.0197746,-0.0001846397
2018-07-19_timed_notraining,1532009483582288,1532010167180725,All_of_Practice_trial_1,1,0.1548484,0.06021107,1,-0.01684162,0.004039401
2018-07-19_timed_notraining,1532009483598913,1532010167197352,All_of_Practice_trial_1,1,0.1596978,0.05367609,1,-0.01836488,-0.003510299
2018-07-19_timed_notraining,1532009483615663,1532010167214103,All_of_Practice_trial_1,1,0.1560424,0.05052248,1,-0.01913201,0.002994166
2018-07-19_timed_notraining,1532009483632290,1532010167230732,All_of_Practice_trial_1,1,0.1627966,0.05664035,1,-0.01661398,0.007288547
2018-07-19_timed_notraining,1532009483648911,1532010167247354,All_of_Practice_trial_1,1,0.1537499,0.05398867,1,-0.0163072,0.004414235
2018-07-19_timed_notraining,1532009483665536,1532010167263981,All_of_Practice_trial_1,1,0.1535275,0.050423,1,-0.01508226,0.01025937
2018-07-19_timed_notraining,1532009483682286,1532010167280733,All_of_Practice_trial_1,1,0.1618102,0.04853693,1,-0.01402912,0.01313689
2018-07-19_timed_notraining,1532009483698911,1532010167297359,All_of_Practice_trial_1,1,0.1575223,0.05832519,1,-0.01449065,0.00359263
2018-07-19_timed_notraining,1532009483715536,1532010167313985,All_of_Practice_trial_1,1,0.1554115,0.05445389,1,-0.01146845,0.009014726
2018-07-19_timed_notraining,1532009483732167,1532010167330618,All_of_Practice_trial_1,1,0.153142,0.05581056,1,-0.007325109,0.01578595
2018-07-19_timed_notraining,1532009483748788,1532010167347241,All_of_Practice_trial_1,1,0.1534785,0.04973856,1,-0.008569284,0.01379161
2018-07-19_timed_notraining,1532009483765537,1532010167363991,All_of_Practice_trial_1,1,0.1598865,0.05584678,1,-0.01268254,0.01179581
2018-07-19_timed_notraining,1532009483782168,1532010167380624,All_of_Practice_trial_1,1,0.1578318,0.05107144,1,-0.01217493,0.005027366
2018-07-19_timed_notraining,1532009483798788,1532010167397246,All_of_Practice_trial_1,1,0.1557478,0.05117457,1,-0.007793584,0.005590145
2018-07-19_timed_notraining,1532009483815414,1532010167413873,All_of_Practice_trial_1,1,0.1581812,0.05738168,1,-0.007687353,0.01899015
2018-07-19_timed_notraining,1532009483832164,1532010167430624,All_of_Practice_trial_1,1,0.1555578,0.05207949,1,-0.007492494,0.01289218
2018-07-19_timed_notraining,1532009483848786,1532010167447248,All_of_Practice_trial_1,1,0.1549855,0.05298322,1,-0.009841884,0.004882208
2018-07-19_timed_notraining,1532009483865411,1532010167463875,All_of_Practice_trial_1,1,0.1558185,0.05095359,1,-0.003062452,0.0109121
2018-07-19_timed_notraining,1532009483882037,1532010167480502,All_of_Practice_trial_1,1,0.1586432,0.05769674,1,-0.01020289,0.01469966
2018-07-19_timed_notraining,1532009483898662,1532010167497129,All_of_Practice_trial_1,1,0.1547105,0.05838289,1,-0.01381782,0.01345544
2018-07-19_timed_notraining,1532009483915412,1532010167513880,All_of_Practice_trial_1,1,0.1563689,0.06358033,1,-0.01230468,0.006512705
2018-07-19_timed_notraining,1532009483932037,1532010167530507,All_of_Practice_trial_1,1,0.1581638,0.05057194,1,-0.0120207,0.008391709
2018-07-19_timed_notraining,1532009483948662,1532010167547133,All_of_Practice_trial_1,1,0.1505192,0.04544449,1,-0.009661232,0.02146181
2018-07-19_timed_notraining,1532009483965288,1532010167563761,All_of_Practice_trial_1,1,0.1524983,0.05632069,1,-0.00821647,0.01969401
2018-07-19_timed_notraining,1532009483982038,1532010167580512,All_of_Practice_trial_1,1,0.155341,0.05852268,1,-0.007743229,0.008863389
2018-07-19_timed_notraining,1532009483998663,1532010167597139,All_of_Practice_trial_1,1,0.149638,0.05624564,1,-0.01130369,0.01242757
2018-07-19_timed_notraining,1532009484015287,1532010167613765,All_of_Practice_trial_1,1,0.1535434,0.04939306,1,-0.00972102,0.01798921
2018-07-19_timed_notraining,1532009484031912,1532010167630392,All_of_Practice_trial_1,1,0.1486142,0.05527539,1,-0.009932825,0.01051753
2018-07-19_timed_notraining,1532009484048537,1532010167647017,All_of_Practice_trial_1,1,0.1513689,0.06209389,1,-0.007305003,0.01555468
2018-07-19_timed_notraining,1532009484065287,1532010167663769,All_of_Practice_trial_1,1,0.1537976,0.05663826,1,-0.008678705,0.01579895
2018-07-19_timed_notraining,1532009484081912,1532010167680396,All_of_Practice_trial_1,1,0.1488594,0.05591315,1,-0.01133403,0.006369007
2018-07-19_timed_notraining,1532009484098537,1532010167697022,All_of_Practice_trial_1,1,0.1462848,0.03865032,1,-0.02365581,-0.0004844545
2018-07-19_timed_notraining,1532009484115169,1532010167713656,All_of_Practice_trial_1,1,0.1437638,0.05252854,1,-0.01960085,0.002425538
2018-07-19_timed_notraining,1532009484131913,1532010167730401,All_of_Practice_trial_1,1,0.146414,0.04849145,1,-0.01785011,0.005395772
2018-07-19_timed_notraining,1532009484148538,1532010167747028,All_of_Practice_trial_1,1,0.1483357,0.04177666,1,-0.02085046,0.001356222
2018-07-19_timed_notraining,1532009484165163,1532010167763654,All_of_Practice_trial_1,1,0.1524497,0.05045703,1,-0.0188615,0.007565563
2018-07-19_timed_notraining,1532009484181788,1532010167780281,All_of_Practice_trial_1,1,0.142314,0.05356383,1,-0.01701835,0.004948067
2018-07-19_timed_notraining,1532009484198411,1532010167796905,All_of_Practice_trial_1,1,0.1492724,0.04302579,1,-0.01788235,0.0131834
2018-07-19_timed_notraining,1532009484215163,1532010167813659,All_of_Practice_trial_1,1,0.14642,0.04588643,1,-0.01722557,0.01541378
2018-07-19_timed_notraining,1532009484231786,1532010167830284,All_of_Practice_trial_1,1,0.1443781,0.04419824,1,-0.03636843,-0.007879944
2018-07-19_timed_notraining,1532009484248412,1532010167846911,All_of_Practice_trial_1,1,0.1451411,0.05936682,1,-0.02187106,0.002313308
