subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
2018-07-19_timed_notraining3,1532011501528703,1532012185380982,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501545322,1532012185397604,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501562069,1532012185414352,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501578706,1532012185430991,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501595320,1532012185447608,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501611945,1532012185464235,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501629195,1532012185481487,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501646570,1532012185498865,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501663821,1532012185516118,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501678570,1532012185530869,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501695200,1532012185547502,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501711957,1532012185564260,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501728578,1532012185580883,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501745194,1532012185597502,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501761825,1532012185614135,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501779068,1532012185631381,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501796444,1532012185648759,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501813699,1532012185666016,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501828445,1532012185680764,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501845076,1532012185697397,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501861819,1532012185714142,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501878456,1532012185730782,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501895070,1532012185747398,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501911695,1532012185764025,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501928943,1532012185781276,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501946317,1532012185798651,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501963569,1532012185815905,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501978317,1532012185830656,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011501994943,1532012185847284,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502011693,1532012185864036,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502028329,1532012185880675,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502044957,1532012185897305,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502061568,1532012185913918,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502078818,1532012185931171,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502096200,1532012185948555,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502113441,1532012185965798,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502128192,1532012185980551,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502144817,1532012185997178,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502161566,1532012186013929,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502178203,1532012186030569,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502194816,1532012186047184,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502211442,1532012186063812,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502228692,1532012186081065,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502246067,1532012186098441,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502263318,1532012186115695,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502278067,1532012186130446,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502294697,1532012186147078,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
2018-07-19_timed_notraining3,1532011502311440,1532012186163823,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
