subjectID,system_time_stamp,point_description
2018-07-23_ChildPilot16,1532354245708212,Experiment_Start
2018-07-23_ChildPilot16,1532354248741731,Practice_1_Training_1_audio
2018-07-23_ChildPilot16,1532354251377668,Practice_1_Training_1_video
2018-07-23_ChildPilot16,1532354257112822,Practice_1_Training_2_audio
2018-07-23_ChildPilot16,1532354259742300,Practice_1_Training_2_video
2018-07-23_ChildPilot16,1532354266279386,Practice_1_Training_3_audio
2018-07-23_ChildPilot16,1532354268905040,Practice_1_Training_3_video
2018-07-23_ChildPilot16,1532354272958971,Practice_1_Training_4_audio
2018-07-23_ChildPilot16,1532354275608741,Practice_1_Training_4_video
2018-07-23_ChildPilot16,1532354280918231,Practice_1_SameVerbTest_audio
2018-07-23_ChildPilot16,1532354283311275,Practice_1_SameVerbTest_left_video
2018-07-23_ChildPilot16,1532354288936386,Practice_1_SameVerbTest_right_video
2018-07-23_ChildPilot16,1532354293219741,Practice_1_SameVerbTest_compareVideo1_start
2018-07-23_ChildPilot16,1532354298028078,Practice_1_SameVerbTest_compareVideo1_still
2018-07-23_ChildPilot16,1532354301038432,Practice_1_SameVerbTest_compareVideo1_end
2018-07-23_ChildPilot16,1532354301483275,Practice_1_SameVerbTest_compareVideo2_start
2018-07-23_ChildPilot16,1532354306334087,Practice_1_SameVerbTest_compareVideo2_still
2018-07-23_ChildPilot16,1532354309342062,Practice_1_SameVerbTest_compareVideo2_end
2018-07-23_ChildPilot16,1532354314128183,1_Ambig_audio_future
2018-07-23_ChildPilot16,1532354318302007,1_Ambig_video
2018-07-23_ChildPilot16,1532354323342869,1_Ambig_audio_past
2018-07-23_ChildPilot16,1532354327325643,1_Bias_audio_warmup
2018-07-23_ChildPilot16,1532354330273616,1_Bias_left_video
2018-07-23_ChildPilot16,1532354335872407,1_Bias_right_video
2018-07-23_ChildPilot16,1532354341458787,1_Bias_compareVideo1_start
2018-07-23_ChildPilot16,1532354346581502,1_Bias_compareVideo1_still
2018-07-23_ChildPilot16,1532354349595104,1_Bias_compareVideo1_end
2018-07-23_ChildPilot16,1532354352145022,1_Bias_compareVideo2_start
2018-07-23_ChildPilot16,1532354357279663,1_Bias_compareVideo2_still
2018-07-23_ChildPilot16,1532354360294373,1_Bias_compareVideo2_end
2018-07-23_ChildPilot16,1532354361678904,1_Training_1_audio_future
2018-07-23_ChildPilot16,1532354364650468,1_Training_1_video
2018-07-23_ChildPilot16,1532354369703575,1_Training_1_audio_past
2018-07-23_ChildPilot16,1532354374224855,1_Training_3_audio_future
2018-07-23_ChildPilot16,1532354377699374,1_Training_3_video
2018-07-23_ChildPilot16,1532354382749329,1_Training_3_audio_past
2018-07-23_ChildPilot16,1532354386880463,1_Training_4_audio_future
2018-07-23_ChildPilot16,1532354390251615,1_Training_4_video
2018-07-23_ChildPilot16,1532354395344191,1_Training_4_audio_past
2018-07-23_ChildPilot16,1532354400118401,1_SameVerbTest_audio_warmup
2018-07-23_ChildPilot16,1532354403071347,1_SameVerbTest_left_video
2018-07-23_ChildPilot16,1532354408694832,1_SameVerbTest_right_video
2018-07-23_ChildPilot16,1532354414351882,1_SameVerbTest_compareVideo1_start
2018-07-23_ChildPilot16,1532354419475925,1_SameVerbTest_compareVideo1_still
2018-07-23_ChildPilot16,1532354422492978,1_SameVerbTest_compareVideo1_end
2018-07-23_ChildPilot16,1532354425048465,1_SameVerbTest_compareVideo2_start
2018-07-23_ChildPilot16,1532354430198000,1_SameVerbTest_compareVideo2_still
2018-07-23_ChildPilot16,1532354433206721,1_SameVerbTest_compareVideo2_end
2018-07-23_ChildPilot16,1532354442389999,2_Ambig_audio_future
2018-07-23_ChildPilot16,1532354447067341,2_Ambig_video
2018-07-23_ChildPilot16,1532354452155792,2_Ambig_audio_past
2018-07-23_ChildPilot16,1532354456433814,2_Bias_audio_warmup
2018-07-23_ChildPilot16,1532354459396304,2_Bias_left_video
2018-07-23_ChildPilot16,1532354465067291,2_Bias_right_video
2018-07-23_ChildPilot16,1532354470760347,2_Bias_compareVideo1_start
2018-07-23_ChildPilot16,1532354475870049,2_Bias_compareVideo1_still
2018-07-23_ChildPilot16,1532354478890787,2_Bias_compareVideo1_end
2018-07-23_ChildPilot16,1532354481599098,2_Bias_compareVideo2_start
2018-07-23_ChildPilot16,1532354486721078,2_Bias_compareVideo2_still
2018-07-23_ChildPilot16,1532354489728812,2_Bias_compareVideo2_end
2018-07-23_ChildPilot16,1532354491132945,2_Training_1_audio_future
2018-07-23_ChildPilot16,1532354494297722,2_Training_1_video
2018-07-23_ChildPilot16,1532354499376862,2_Training_1_audio_past
2018-07-23_ChildPilot16,1532354504237236,2_Training_3_audio_future
2018-07-23_ChildPilot16,1532354508050566,2_Training_3_video
2018-07-23_ChildPilot16,1532354513133304,2_Training_3_audio_past
2018-07-23_ChildPilot16,1532354517175705,2_Training_4_audio_future
2018-07-23_ChildPilot16,1532354520470150,2_Training_4_video
2018-07-23_ChildPilot16,1532354525572106,2_Training_4_audio_past
2018-07-23_ChildPilot16,1532354530678044,2_SameVerbTest_audio_warmup
2018-07-23_ChildPilot16,1532354533631689,2_SameVerbTest_left_video
2018-07-23_ChildPilot16,1532354539255367,2_SameVerbTest_right_video
2018-07-23_ChildPilot16,1532354544889028,2_SameVerbTest_compareVideo1_start
2018-07-23_ChildPilot16,1532354550035411,2_SameVerbTest_compareVideo1_still
2018-07-23_ChildPilot16,1532354553041631,2_SameVerbTest_compareVideo1_end
2018-07-23_ChildPilot16,1532354555741695,2_SameVerbTest_compareVideo2_start
2018-07-23_ChildPilot16,1532354560876547,2_SameVerbTest_compareVideo2_still
2018-07-23_ChildPilot16,1532354563884208,2_SameVerbTest_compareVideo2_end
2018-07-23_ChildPilot16,1532354571837226,3_Ambig_audio_future
2018-07-23_ChildPilot16,1532354576490328,3_Ambig_video
2018-07-23_ChildPilot16,1532354581582072,3_Ambig_audio_past
2018-07-23_ChildPilot16,1532354585588874,3_Bias_audio_warmup
2018-07-23_ChildPilot16,1532354588543407,3_Bias_left_video
2018-07-23_ChildPilot16,1532354594196064,3_Bias_right_video
2018-07-23_ChildPilot16,1532354599906944,3_Bias_compareVideo1_start
2018-07-23_ChildPilot16,1532354605015609,3_Bias_compareVideo1_still
