subjectID,system_time_stamp,point_description
2018-07-24_dummytesting-NoQT7,1532462986666498,Experiment_Start
2018-07-24_dummytesting-NoQT7,1532462988861010,Practice_1_Training_1_audio
2018-07-24_dummytesting-NoQT7,1532462991503735,Practice_1_Training_1_video
2018-07-24_dummytesting-NoQT7,1532462997220811,Practice_1_Training_2_audio
2018-07-24_dummytesting-NoQT7,1532462999859436,Practice_1_Training_2_video
2018-07-24_dummytesting-NoQT7,1532463006401962,Practice_1_Training_3_audio
2018-07-24_dummytesting-NoQT7,1532463009031869,Practice_1_Training_3_video
2018-07-24_dummytesting-NoQT7,1532463013047252,Practice_1_Training_4_audio
2018-07-24_dummytesting-NoQT7,1532463015679629,Practice_1_Training_4_video
2018-07-24_dummytesting-NoQT7,1532463020944601,Practice_1_SameVerbTest_audio
2018-07-24_dummytesting-NoQT7,1532463023338263,Practice_1_SameVerbTest_left_video
2018-07-24_dummytesting-NoQT7,1532463028885514,Practice_1_SameVerbTest_right_video
2018-07-24_dummytesting-NoQT7,1532463033165943,Practice_1_SameVerbTest_compareVideo1_start
2018-07-24_dummytesting-NoQT7,1532463037980782,Practice_1_SameVerbTest_compareVideo1_still
2018-07-24_dummytesting-NoQT7,1532463040988557,Practice_1_SameVerbTest_compareVideo1_end
2018-07-24_dummytesting-NoQT7,1532463041448165,Practice_1_SameVerbTest_compareVideo2_start
2018-07-24_dummytesting-NoQT7,1532463046261860,Practice_1_SameVerbTest_compareVideo2_still
2018-07-24_dummytesting-NoQT7,1532463049269776,Practice_1_SameVerbTest_compareVideo2_end
2018-07-24_dummytesting-NoQT7,1532463068018207,1_Ambig_audio_future
2018-07-24_dummytesting-NoQT7,1532463072347794,1_Ambig_video
2018-07-24_dummytesting-NoQT7,1532463078032797,1_Ambig_audio_past
2018-07-24_dummytesting-NoQT7,1532463081852565,1_Bias_audio_warmup
2018-07-24_dummytesting-NoQT7,1532463084796685,1_Bias_left_video
2018-07-24_dummytesting-NoQT7,1532463090848769,1_Bias_right_video
2018-07-24_dummytesting-NoQT7,1532463096866892,1_Bias_compareVideo1_start
2018-07-24_dummytesting-NoQT7,1532463102461718,1_Bias_compareVideo1_still
2018-07-24_dummytesting-NoQT7,1532463105468481,1_Bias_compareVideo1_end
2018-07-24_dummytesting-NoQT7,1532463108129918,1_Bias_compareVideo2_start
2018-07-24_dummytesting-NoQT7,1532463113706116,1_Bias_compareVideo2_still
2018-07-24_dummytesting-NoQT7,1532463116716266,1_Bias_compareVideo2_end
2018-07-24_dummytesting-NoQT7,1532463118116836,1_Training_1_audio_future
2018-07-24_dummytesting-NoQT7,1532463121207156,1_Training_1_video
2018-07-24_dummytesting-NoQT7,1532463126838847,1_Training_1_audio_past
2018-07-24_dummytesting-NoQT7,1532463131586733,1_Training_3_audio_future
2018-07-24_dummytesting-NoQT7,1532463134864821,1_Training_3_video
2018-07-24_dummytesting-NoQT7,1532463140514340,1_Training_3_audio_past
2018-07-24_dummytesting-NoQT7,1532463144458655,1_Training_4_audio_future
2018-07-24_dummytesting-NoQT7,1532463147741419,1_Training_4_video
2018-07-24_dummytesting-NoQT7,1532463153184504,1_Training_4_audio_past
2018-07-24_dummytesting-NoQT7,1532463157849655,1_SameVerbTest_audio_warmup
2018-07-24_dummytesting-NoQT7,1532463160809700,1_SameVerbTest_left_video
2018-07-24_dummytesting-NoQT7,1532463166771898,1_SameVerbTest_right_video
2018-07-24_dummytesting-NoQT7,1532463172650852,1_SameVerbTest_compareVideo1_start
2018-07-24_dummytesting-NoQT7,1532463178163667,1_SameVerbTest_compareVideo1_still
2018-07-24_dummytesting-NoQT7,1532463181177107,1_SameVerbTest_compareVideo1_end
2018-07-24_dummytesting-NoQT7,1532463183837059,1_SameVerbTest_compareVideo2_start
2018-07-24_dummytesting-NoQT7,1532463189348509,1_SameVerbTest_compareVideo2_still
2018-07-24_dummytesting-NoQT7,1532463192360547,1_SameVerbTest_compareVideo2_end
2018-07-24_dummytesting-NoQT7,1532463215592452,2_Ambig_audio_future
