subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
2018-07-30_SchDummy3,1532986715255132,1532987404554573,All_of_Practice_trial_1,1,0.5076153,0.5232204,1,0.523486,0.5352113
2018-07-30_SchDummy3,1532986715271882,1532987404571326,All_of_Practice_trial_1,1,0.5058943,0.5270555,1,0.5294064,0.5429459
2018-07-30_SchDummy3,1532986715288507,1532987404587954,All_of_Practice_trial_1,1,0.502103,0.5214001,1,0.5319219,0.5370899
2018-07-30_SchDummy3,1532986715305142,1532987404604592,All_of_Practice_trial_1,1,0.5044768,0.5380317,1,0.5269539,0.5358849
2018-07-30_SchDummy3,1532986715321757,1532987404621210,All_of_Practice_trial_1,1,0.5104588,0.5287723,1,0.5242555,0.5348206
2018-07-30_SchDummy3,1532986715338507,1532987404637962,All_of_Practice_trial_1,1,0.5022768,0.5228414,1,0.5290722,0.5403178
2018-07-30_SchDummy3,1532986715355132,1532987404654590,All_of_Practice_trial_1,1,0.4998403,0.5348457,1,0.5256405,0.5437145
2018-07-30_SchDummy3,1532986715371757,1532987404671218,All_of_Practice_trial_1,1,0.5033832,0.5186085,1,0.527447,0.5355427
2018-07-30_SchDummy3,1532986715388381,1532987404687845,All_of_Practice_trial_1,1,0.4932144,0.5368282,1,0.5010947,0.5442093
2018-07-30_SchDummy3,1532986715405004,1532987404704470,All_of_Practice_trial_1,1,0.4969636,0.5223098,1,0.5054284,0.538362
2018-07-30_SchDummy3,1532986715421753,1532987404721222,All_of_Practice_trial_1,1,0.494765,0.5272026,1,0.5077199,0.5505279
2018-07-30_SchDummy3,1532986715438378,1532987404737850,All_of_Practice_trial_1,1,0.4864656,0.5323719,1,0.5004168,0.5445615
2018-07-30_SchDummy3,1532986715455003,1532987404754478,All_of_Practice_trial_1,1,0.4903239,0.5325589,1,0.5135711,0.5544317
2018-07-30_SchDummy3,1532986715471628,1532987404771106,All_of_Practice_trial_1,1,0.4893228,0.5314137,1,0.5087235,0.5471729
2018-07-30_SchDummy3,1532986715488378,1532987404787858,All_of_Practice_trial_1,1,0.5020927,0.5187889,1,0.503588,0.5528123
2018-07-30_SchDummy3,1532986715505003,1532987404804486,All_of_Practice_trial_1,1,0.4923167,0.5336326,1,0.5076312,0.5492341
2018-07-30_SchDummy3,1532986715521628,1532987404821114,All_of_Practice_trial_1,1,0.4891497,0.5287521,1,0.5063049,0.5478783
2018-07-30_SchDummy3,1532986715538253,1532987404837742,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
2018-07-30_SchDummy3,1532986715554940,1532987404854432,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
2018-07-30_SchDummy3,1532986715571606,1532987404871100,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
2018-07-30_SchDummy3,1532986715588250,1532987404887747,All_of_Practice_trial_1,1,0.4895818,0.521042,1,0.5004642,0.5458308
2018-07-30_SchDummy3,1532986715604875,1532987404904375,All_of_Practice_trial_1,1,0.4880712,0.5309877,1,0.4999058,0.5454426
2018-07-30_SchDummy3,1532986715621500,1532987404921003,All_of_Practice_trial_1,1,0.4950227,0.5187022,1,0.4987924,0.544498
2018-07-30_SchDummy3,1532986715638250,1532987404937755,All_of_Practice_trial_1,1,0.492971,0.5277864,1,0.5088181,0.5466349
2018-07-30_SchDummy3,1532986715654875,1532987404954383,All_of_Practice_trial_1,1,0.4817474,0.5223382,1,0.50646,0.5411488
2018-07-30_SchDummy3,1532986715671500,1532987404971011,All_of_Practice_trial_1,1,0.4857002,0.5252216,1,0.504423,0.5542818
2018-07-30_SchDummy3,1532986715688125,1532987404987639,All_of_Practice_trial_1,1,0.4865753,0.5249174,1,0.5086843,0.5475504
2018-07-30_SchDummy3,1532986715704749,1532987405004266,All_of_Practice_trial_1,1,0.4839856,0.5305593,1,0.5107894,0.5528167
2018-07-30_SchDummy3,1532986715721500,1532987405021019,All_of_Practice_trial_1,1,0.4920892,0.5240698,1,0.5049562,0.5515473
2018-07-30_SchDummy3,1532986715738131,1532987405037653,All_of_Practice_trial_1,1,0.4910025,0.5269027,1,0.5062466,0.549318
2018-07-30_SchDummy3,1532986715754750,1532987405054275,All_of_Practice_trial_1,1,0.4927951,0.5258901,1,0.5085254,0.5447151
2018-07-30_SchDummy3,1532986715771372,1532987405070900,All_of_Practice_trial_1,1,0.4869596,0.5366256,1,0.5031211,0.543466
2018-07-30_SchDummy3,1532986715787996,1532987405087526,All_of_Practice_trial_1,1,0.4903532,0.5278043,1,0.5046152,0.5397832
2018-07-30_SchDummy3,1532986715804746,1532987405104278,All_of_Practice_trial_1,1,0.4918049,0.5211532,1,0.5022325,0.5398793
2018-07-30_SchDummy3,1532986715821371,1532987405120906,All_of_Practice_trial_1,1,0.4828079,0.5270698,1,0.501578,0.5354392
2018-07-30_SchDummy3,1532986715837996,1532987405137534,All_of_Practice_trial_1,1,0.483219,0.5279181,1,0.5072086,0.5464467
2018-07-30_SchDummy3,1532986715854621,1532987405154162,All_of_Practice_trial_1,1,0.4865639,0.5268591,1,0.5031641,0.5420328
2018-07-30_SchDummy3,1532986715871372,1532987405170915,All_of_Practice_trial_1,1,0.4946421,0.5354327,1,0.5026775,0.5399255
2018-07-30_SchDummy3,1532986715887996,1532987405187542,All_of_Practice_trial_1,1,0.4830449,0.5248336,1,0.4986969,0.5458777
2018-07-30_SchDummy3,1532986715904621,1532987405204170,All_of_Practice_trial_1,1,0.488659,0.5285779,1,0.5087455,0.5462822
2018-07-30_SchDummy3,1532986715921246,1532987405220798,All_of_Practice_trial_1,1,0.4915688,0.5322201,1,0.5103781,0.538012
2018-07-30_SchDummy3,1532986715937871,1532987405237425,All_of_Practice_trial_1,1,0.4888236,0.5292427,1,0.5078912,0.5432951
2018-07-30_SchDummy3,1532986715954618,1532987405254174,All_of_Practice_trial_1,1,0.4889531,0.5349787,1,0.4968223,0.5436512
2018-07-30_SchDummy3,1532986715971243,1532987405270802,All_of_Practice_trial_1,1,0.5057812,0.5219119,1,0.5272302,0.5412685
2018-07-30_SchDummy3,1532986715987868,1532987405287430,All_of_Practice_trial_1,1,0.524709,0.5255678,1,0.5437081,0.5358523
2018-07-30_SchDummy3,1532986716004503,1532987405304068,All_of_Practice_trial_1,1,0.514477,0.527449,1,0.5378212,0.540511
2018-07-30_SchDummy3,1532986716021243,1532987405320810,All_of_Practice_trial_1,1,0.5210041,0.5237779,1,0.5374085,0.5461637
2018-07-30_SchDummy3,1532986716037891,1532987405337461,All_of_Practice_trial_1,1,0.5118927,0.5317758,1,0.5335935,0.5417606
2018-07-30_SchDummy3,1532986716054493,1532987405354066,All_of_Practice_trial_1,1,0.5194975,0.5235074,1,0.5380466,0.5405449
2018-07-30_SchDummy3,1532986716071118,1532987405370694,All_of_Practice_trial_1,1,0.518687,0.5195533,1,0.5343412,0.5329075
2018-07-30_SchDummy3,1532986716087743,1532987405387322,All_of_Practice_trial_1,1,0.5235909,0.5292475,1,0.5409707,0.5500501
2018-07-30_SchDummy3,1532986716104493,1532987405404073,All_of_Practice_trial_1,1,0.5129482,0.526421,1,0.544575,0.5385063
2018-07-30_SchDummy3,1532986716121118,1532987405420701,All_of_Practice_trial_1,1,0.5225891,0.5288017,1,0.5392708,0.5362822
2018-07-30_SchDummy3,1532986716137750,1532987405437336,All_of_Practice_trial_1,1,0.5184952,0.5254867,1,0.5405971,0.538591
2018-07-30_SchDummy3,1532986716154365,1532987405453954,All_of_Practice_trial_1,1,0.5185922,0.5174848,1,0.5381522,0.5284671
2018-07-30_SchDummy3,1532986716171115,1532987405470706,All_of_Practice_trial_1,1,0.5160966,0.5263973,1,0.5412543,0.5378184
2018-07-30_SchDummy3,1532986716187742,1532987405487336,All_of_Practice_trial_1,1,0.5066584,0.528214,1,0.5379315,0.5356605
2018-07-30_SchDummy3,1532986716204364,1532987405503961,All_of_Practice_trial_1,1,0.5165541,0.5374305,1,0.5427141,0.5451576
2018-07-30_SchDummy3,1532986716220990,1532987405520590,All_of_Practice_trial_1,1,0.5068678,0.5332071,1,0.5335568,0.5429062
2018-07-30_SchDummy3,1532986716237615,1532987405537218,All_of_Practice_trial_1,1,0.5129939,0.529462,1,0.5337557,0.5426676
2018-07-30_SchDummy3,1532986716254365,1532987405553969,All_of_Practice_trial_1,1,0.5116553,0.5278543,1,0.5399406,0.5454039
2018-07-30_SchDummy3,1532986716270990,1532987405570597,All_of_Practice_trial_1,1,0.5222272,0.5163489,1,0.535082,0.5454963
2018-07-30_SchDummy3,1532986716287621,1532987405587231,All_of_Practice_trial_1,1,0.5134328,0.5337953,1,0.5368735,0.5407341
2018-07-30_SchDummy3,1532986716304239,1532987405603852,All_of_Practice_trial_1,1,0.5102695,0.5278312,1,0.5377612,0.5425603
2018-07-30_SchDummy3,1532986716320987,1532987405620603,All_of_Practice_trial_1,1,0.5166901,0.5345832,1,0.5369595,0.5465871
2018-07-30_SchDummy3,1532986716337611,1532987405637228,All_of_Practice_trial_1,1,0.5214615,0.53273,1,0.5403631,0.5403133
2018-07-30_SchDummy3,1532986716354237,1532987405653857,All_of_Practice_trial_1,1,0.5191036,0.5308405,1,0.5309445,0.5422035
2018-07-30_SchDummy3,1532986716370862,1532987405670485,All_of_Practice_trial_1,1,0.5138783,0.5235494,1,0.5367577,0.5444103
2018-07-30_SchDummy3,1532986716387486,1532987405687112,All_of_Practice_trial_1,1,0.5160493,0.5334721,1,0.5375043,0.5394269
2018-07-30_SchDummy3,1532986716404235,1532987405703863,All_of_Practice_trial_1,1,0.5235114,0.5259155,1,0.5261775,0.5456659
2018-07-30_SchDummy3,1532986716420860,1532987405720491,All_of_Practice_trial_1,1,0.5142465,0.5253693,1,0.5354292,0.5434726
2018-07-30_SchDummy3,1532986716437486,1532987405737120,All_of_Practice_trial_1,1,0.5154967,0.5279866,1,0.5283225,0.54193
2018-07-30_SchDummy3,1532986716454116,1532987405753752,All_of_Practice_trial_1,1,0.5219452,0.5288274,1,0.534187,0.5407135
2018-07-30_SchDummy3,1532986716470860,1532987405770499,All_of_Practice_trial_1,1,0.5170611,0.535854,1,0.5352823,0.5443777
2018-07-30_SchDummy3,1532986716487485,1532987405787127,All_of_Practice_trial_1,1,0.5177394,0.5433175,1,0.5360895,0.5457201
2018-07-30_SchDummy3,1532986716504108,1532987405803752,All_of_Practice_trial_1,1,0.5179123,0.5336914,1,0.5317069,0.5420166
2018-07-30_SchDummy3,1532986716520857,1532987405820504,All_of_Practice_trial_1,1,0.5206146,0.540178,1,0.5370136,0.5437724
2018-07-30_SchDummy3,1532986716537482,1532987405837132,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
2018-07-30_SchDummy3,1532986716554107,1532987405853759,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
2018-07-30_SchDummy3,1532986716570773,1532987405870428,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
2018-07-30_SchDummy3,1532986716587482,1532987405887140,All_of_Practice_trial_1,1,0.51566,0.538904,1,0.5319551,0.5455862
2018-07-30_SchDummy3,1532986716604107,1532987405903767,All_of_Practice_trial_1,1,0.5129142,0.5371519,1,0.5244996,0.5433437
