subjectID,system_time_stamp,point_description
2018-07-30_SchDummy6,1532988232074410,Experiment_Start
2018-07-30_SchDummy6,1532988250354025,Practice_1_Training_1_audio
2018-07-30_SchDummy6,1532988252981462,Practice_1_Training_1_video
2018-07-30_SchDummy6,1532988258862901,Practice_1_Training_2_audio
2018-07-30_SchDummy6,1532988261519711,Practice_1_Training_2_video
2018-07-30_SchDummy6,1532988268072418,Practice_1_Training_3_audio
2018-07-30_SchDummy6,1532988270704454,Practice_1_Training_3_video
2018-07-30_SchDummy6,1532988274702934,Practice_1_Training_4_audio
2018-07-30_SchDummy6,1532988277335921,Practice_1_Training_4_video
2018-07-30_SchDummy6,1532988282628159,Practice_1_SameVerbTest_audio
2018-07-30_SchDummy6,1532988285021122,Practice_1_SameVerbTest_left_video
2018-07-30_SchDummy6,1532988290555001,Practice_1_SameVerbTest_right_video
2018-07-30_SchDummy6,1532988294831297,Practice_1_SameVerbTest_compareVideo1_start
2018-07-30_SchDummy6,1532988299671642,Practice_1_SameVerbTest_compareVideo1_still
2018-07-30_SchDummy6,1532988302679080,Practice_1_SameVerbTest_compareVideo1_end
2018-07-30_SchDummy6,1532988303114087,Practice_1_SameVerbTest_compareVideo2_start
2018-07-30_SchDummy6,1532988307948777,Practice_1_SameVerbTest_compareVideo2_still
2018-07-30_SchDummy6,1532988310958647,Practice_1_SameVerbTest_compareVideo2_end
2018-07-30_SchDummy6,1532988333721643,1_Ambig_audio_future
2018-07-30_SchDummy6,1532988338205768,1_Ambig_video
2018-07-30_SchDummy6,1532988343797929,1_Ambig_audio_past
2018-07-30_SchDummy6,1532988348231087,1_Bias_audio_warmup
2018-07-30_SchDummy6,1532988351299663,1_Bias_left_video
2018-07-30_SchDummy6,1532988357334614,1_Bias_right_video
2018-07-30_SchDummy6,1532988362699354,1_Bias_compareVideo1_start
2018-07-30_SchDummy6,1532988368274691,1_Bias_compareVideo1_still
2018-07-30_SchDummy6,1532988371287136,1_Bias_compareVideo1_end
2018-07-30_SchDummy6,1532988374162640,1_Bias_compareVideo2_start
2018-07-30_SchDummy6,1532988379727494,1_Bias_compareVideo2_still
2018-07-30_SchDummy6,1532988382738451,1_Bias_compareVideo2_end
2018-07-30_SchDummy6,1532988384081242,1_Training_1_audio_future
2018-07-30_SchDummy6,1532988387400696,1_Training_1_video
2018-07-30_SchDummy6,1532988392970803,1_Training_1_audio_past
2018-07-30_SchDummy6,1532988397851398,1_Training_3_audio_future
2018-07-30_SchDummy6,1532988401531137,1_Training_3_video
2018-07-30_SchDummy6,1532988407188071,1_Training_3_audio_past
2018-07-30_SchDummy6,1532988411614427,1_Training_4_audio_future
2018-07-30_SchDummy6,1532988414917280,1_Training_4_video
2018-07-30_SchDummy6,1532988420416534,1_Training_4_audio_past
2018-07-30_SchDummy6,1532988425214665,1_SameVerbTest_audio_warmup
2018-07-30_SchDummy6,1532988428159743,1_SameVerbTest_left_video
2018-07-30_SchDummy6,1532988434093395,1_SameVerbTest_right_video
2018-07-30_SchDummy6,1532988440241717,1_SameVerbTest_compareVideo1_start
2018-07-30_SchDummy6,1532988445962965,1_SameVerbTest_compareVideo1_still
2018-07-30_SchDummy6,1532988448975503,1_SameVerbTest_compareVideo1_end
2018-07-30_SchDummy6,1532988451770033,1_SameVerbTest_compareVideo2_start
2018-07-30_SchDummy6,1532988457435483,1_SameVerbTest_compareVideo2_still
2018-07-30_SchDummy6,1532988460447546,1_SameVerbTest_compareVideo2_end
2018-07-30_SchDummy6,1532988483530679,2_Ambig_audio_future
2018-07-30_SchDummy6,1532988488177402,2_Ambig_video
2018-07-30_SchDummy6,1532988493661545,2_Ambig_audio_past
2018-07-30_SchDummy6,1532988497648952,2_Bias_audio_warmup
2018-07-30_SchDummy6,1532988500586857,2_Bias_left_video
2018-07-30_SchDummy6,1532988506801123,2_Bias_right_video
2018-07-30_SchDummy6,1532988512992156,2_Bias_compareVideo1_start
2018-07-30_SchDummy6,1532988518719804,2_Bias_compareVideo1_still
2018-07-30_SchDummy6,1532988521727632,2_Bias_compareVideo1_end
2018-07-30_SchDummy6,1532988524664209,2_Bias_compareVideo2_start
2018-07-30_SchDummy6,1532988530400938,2_Bias_compareVideo2_still
2018-07-30_SchDummy6,1532988533411513,2_Bias_compareVideo2_end
2018-07-30_SchDummy6,1532988534959484,2_Training_1_audio_future
2018-07-30_SchDummy6,1532988538865503,2_Training_1_video
2018-07-30_SchDummy6,1532988544294022,2_Training_1_audio_past
2018-07-30_SchDummy6,1532988549942490,2_Training_3_audio_future
2018-07-30_SchDummy6,1532988554035747,2_Training_3_video
2018-07-30_SchDummy6,1532988559517980,2_Training_3_audio_past
2018-07-30_SchDummy6,1532988564232647,2_Training_4_audio_future
2018-07-30_SchDummy6,1532988567465750,2_Training_4_video
2018-07-30_SchDummy6,1532988572805551,2_Training_4_audio_past
2018-07-30_SchDummy6,1532988577834026,2_SameVerbTest_audio_warmup
