subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
2018-08-01_ChildPilot33x2,1533144173041656,1533144863912129,All_of_Main_trial_8,0,NaN,NaN,1,0.608035,1.224757
2018-08-01_ChildPilot33x2,1533144173058522,1533144863928998,All_of_Main_trial_8,0,NaN,NaN,1,0.4998192,1.283127
2018-08-01_ChildPilot33x2,1533144173075143,1533144863945622,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173091894,1533144863962376,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173108519,1533144863979004,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173125145,1533144863995633,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173141770,1533144864012260,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173158521,1533144864029015,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173175145,1533144864045642,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173191767,1533144864062267,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173208517,1533144864079020,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173225138,1533144864095644,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173241804,1533144864112312,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173258391,1533144864128902,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173275016,1533144864145530,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173291141,1533144864161658,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173307766,1533144864178286,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173325012,1533144864195535,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173341640,1533144864212166,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173357663,1533144864228192,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173373138,1533144864243670,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173389754,1533144864260289,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173407004,1533144864277542,All_of_Main_trial_8,1,0.3972108,0.4642752,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173424126,1533144864294667,All_of_Main_trial_8,1,0.3951639,0.4604151,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173440505,1533144864311048,All_of_Main_trial_8,1,0.4069808,0.5082853,1,0.3836664,0.5133289
2018-08-01_ChildPilot33x2,1533144173457263,1533144864327809,All_of_Main_trial_8,1,0.3365631,0.639953,1,0.3207199,0.6011007
2018-08-01_ChildPilot33x2,1533144173474126,1533144864344675,All_of_Main_trial_8,1,0.3163342,0.6651394,1,0.3195407,0.6077462
2018-08-01_ChildPilot33x2,1533144173490876,1533144864361428,All_of_Main_trial_8,1,0.3209352,0.6690565,1,0.2963152,0.6314247
2018-08-01_ChildPilot33x2,1533144173507510,1533144864378065,All_of_Main_trial_8,1,0.3132649,0.6733299,1,0.2977261,0.6325829
2018-08-01_ChildPilot33x2,1533144173524134,1533144864394692,All_of_Main_trial_8,1,0.3232112,0.6705828,1,0.294612,0.6346227
2018-08-01_ChildPilot33x2,1533144173540756,1533144864411318,All_of_Main_trial_8,1,0.3137751,0.676622,1,0.2992524,0.6299368
2018-08-01_ChildPilot33x2,1533144173557383,1533144864427946,All_of_Main_trial_8,1,0.3167446,0.6692479,1,0.2972515,0.6230825
2018-08-01_ChildPilot33x2,1533144173573972,1533144864444538,All_of_Main_trial_8,1,0.3282433,0.6615545,1,0.2967896,0.6070617
2018-08-01_ChildPilot33x2,1533144173590596,1533144864461166,All_of_Main_trial_8,1,0.3405009,0.6502172,1,0.3116789,0.6430512
2018-08-01_ChildPilot33x2,1533144173607221,1533144864477794,All_of_Main_trial_8,1,0.2989087,0.6127493,1,0.2992211,0.5855693
2018-08-01_ChildPilot33x2,1533144173623846,1533144864494422,All_of_Main_trial_8,1,0.331429,0.6502988,1,0.3185838,0.6289193
2018-08-01_ChildPilot33x2,1533144173640471,1533144864511050,All_of_Main_trial_8,0,NaN,NaN,1,0.3083848,0.6415131
2018-08-01_ChildPilot33x2,1533144173657096,1533144864527677,All_of_Main_trial_8,1,0.1140213,0.7908862,1,0.1016384,0.677952
2018-08-01_ChildPilot33x2,1533144173673723,1533144864544307,All_of_Main_trial_8,1,-0.02389383,0.8562336,1,-0.05412547,0.7286896
2018-08-01_ChildPilot33x2,1533144173690471,1533144864561058,All_of_Main_trial_8,1,-0.156862,0.9515548,1,-0.1821058,0.8716814
2018-08-01_ChildPilot33x2,1533144173707047,1533144864577637,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173723713,1533144864594306,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173740380,1533144864610976,All_of_Main_trial_8,1,-0.3230852,1.055111,1,-0.2583755,0.9780486
2018-08-01_ChildPilot33x2,1533144173756992,1533144864627591,All_of_Main_trial_8,1,-0.3030045,1.05124,1,-0.2666047,0.9749205
2018-08-01_ChildPilot33x2,1533144173773625,1533144864644227,All_of_Main_trial_8,1,-0.2665289,1.068596,1,-0.2768112,0.9782945
2018-08-01_ChildPilot33x2,1533144173790250,1533144864660855,All_of_Main_trial_8,1,-0.2913377,1.043263,1,-0.267781,0.9680125
2018-08-01_ChildPilot33x2,1533144173806992,1533144864677600,All_of_Main_trial_8,1,-0.2896727,1.07621,1,-0.2844627,0.9659842
2018-08-01_ChildPilot33x2,1533144173823626,1533144864694237,All_of_Main_trial_8,1,-0.4202431,1.101029,1,-0.2942713,1.019662
2018-08-01_ChildPilot33x2,1533144173840249,1533144864710863,All_of_Main_trial_8,1,-0.4143189,1.10498,1,-0.2809944,1.004542
2018-08-01_ChildPilot33x2,1533144173856874,1533144864727491,All_of_Main_trial_8,1,-0.2570956,1.090677,1,-0.25649,1.00415
2018-08-01_ChildPilot33x2,1533144173873616,1533144864744236,All_of_Main_trial_8,1,-0.2544927,1.046749,1,-0.2724742,1.014746
2018-08-01_ChildPilot33x2,1533144173890249,1533144864760871,All_of_Main_trial_8,1,-0.1614095,1.154834,1,-0.2293003,1.030691
2018-08-01_ChildPilot33x2,1533144173906873,1533144864777498,All_of_Main_trial_8,1,-0.1717386,1.153807,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173923498,1533144864794126,All_of_Main_trial_8,0,NaN,NaN,1,-0.3103098,0.9905764
2018-08-01_ChildPilot33x2,1533144173940121,1533144864810752,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173956747,1533144864827382,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173973492,1533144864844130,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144173990158,1533144864860798,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174006861,1533144864877504,All_of_Main_trial_8,1,-0.2104313,1.023045,1,-0.2691819,1.093527
2018-08-01_ChildPilot33x2,1533144174023496,1533144864894142,All_of_Main_trial_8,0,NaN,NaN,1,-0.2219351,1.115013
2018-08-01_ChildPilot33x2,1533144174040246,1533144864910895,All_of_Main_trial_8,0,NaN,NaN,1,-0.256241,1.122394
2018-08-01_ChildPilot33x2,1533144174056985,1533144864927637,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174073551,1533144864944206,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174090217,1533144864960875,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174106853,1533144864977513,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174123519,1533144864994182,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174140128,1533144865010794,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174156794,1533144865027463,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174173367,1533144865044039,All_of_Main_trial_8,0,NaN,NaN,1,-0.2192882,0.9135182
2018-08-01_ChildPilot33x2,1533144174189866,1533144865060541,All_of_Main_trial_8,0,NaN,NaN,1,-0.2777849,1.058118
2018-08-01_ChildPilot33x2,1533144174206607,1533144865077284,All_of_Main_trial_8,1,-0.4146508,1.27659,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174223481,1533144865094161,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174240112,1533144865110795,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174256854,1533144865127540,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174273478,1533144865144167,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174290087,1533144865160779,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174306827,1533144865177522,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174323327,1533144865194024,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174340131,1533144865210831,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174356728,1533144865227431,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174373394,1533144865244100,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174389989,1533144865260698,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174406655,1533144865277367,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174423326,1533144865294041,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174439449,1533144865310166,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174456701,1533144865327421,All_of_Main_trial_8,1,-0.1139769,0.9131954,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174473331,1533144865344054,All_of_Main_trial_8,1,-0.1320017,0.7583375,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174489823,1533144865360549,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174506577,1533144865377306,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174523199,1533144865393931,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174539865,1533144865410599,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174556446,1533144865427183,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174573196,1533144865443936,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174589821,1533144865460564,All_of_Main_trial_8,0,NaN,NaN,1,-0.3574953,0.98727
2018-08-01_ChildPilot33x2,1533144174606446,1533144865477192,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174623070,1533144865493819,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174639757,1533144865510509,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174656423,1533144865527177,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174673120,1533144865543877,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174689786,1533144865560546,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
2018-08-01_ChildPilot33x2,1533144174706442,1533144865577205,All_of_Main_trial_8,1,-0.2371391,0.9392604,1,-0.2772659,1.0646
2018-08-01_ChildPilot33x2,1533144174722942,1533144865593708,All_of_Main_trial_8,1,-0.2857304,1.136855,1,-0.342231,1.000175
2018-08-01_ChildPilot33x2,1533144174739692,1533144865610461,All_of_Main_trial_8,1,-0.2094426,0.7291983,1,-0.3359184,1.005761
2018-08-01_ChildPilot33x2,1533144174756318,1533144865627090,All_of_Main_trial_8,1,-0.3336324,0.8139926,1,-0.3205492,1.047419
2018-08-01_ChildPilot33x2,1533144174772940,1533144865643714,All_of_Main_trial_8,1,-0.3035972,0.8295744,1,-0.2861952,1.046908
2018-08-01_ChildPilot33x2,1533144174789566,1533144865660343,All_of_Main_trial_8,1,-0.3068203,0.7895644,1,-0.3156742,1.041117
