subjectID,system_time_stamp,point_description
2018-08-01_ChildPilot33x2,1533143854118785,Experiment_Start
2018-08-01_ChildPilot33x2,1533143859647659,Practice_1_Training_1_audio
2018-08-01_ChildPilot33x2,1533143862290046,Practice_1_Training_1_video
2018-08-01_ChildPilot33x2,1533143868116151,Practice_1_Training_2_audio
2018-08-01_ChildPilot33x2,1533143870768706,Practice_1_Training_2_video
2018-08-01_ChildPilot33x2,1533143877370130,Practice_1_Training_3_audio
2018-08-01_ChildPilot33x2,1533143880001548,Practice_1_Training_3_video
2018-08-01_ChildPilot33x2,1533143883998067,Practice_1_Training_4_audio
2018-08-01_ChildPilot33x2,1533143886624078,Practice_1_Training_4_video
2018-08-01_ChildPilot33x2,1533143892044585,Practice_1_SameVerbTest_audio
2018-08-01_ChildPilot33x2,1533143894448498,Practice_1_SameVerbTest_left_video
2018-08-01_ChildPilot33x2,1533143900003106,Practice_1_SameVerbTest_right_video
2018-08-01_ChildPilot33x2,1533143904320751,Practice_1_SameVerbTest_compareVideo1_start
2018-08-01_ChildPilot33x2,1533143909176133,Practice_1_SameVerbTest_compareVideo1_still
2018-08-01_ChildPilot33x2,1533143912187395,Practice_1_SameVerbTest_compareVideo1_end
2018-08-01_ChildPilot33x2,1533143912664581,Practice_1_SameVerbTest_compareVideo2_start
2018-08-01_ChildPilot33x2,1533143917514689,Practice_1_SameVerbTest_compareVideo2_still
2018-08-01_ChildPilot33x2,1533143920523416,Practice_1_SameVerbTest_compareVideo2_end
2018-08-01_ChildPilot33x2,1533143928774054,1_Ambig_audio_future
2018-08-01_ChildPilot33x2,1533143933188401,1_Ambig_video
2018-08-01_ChildPilot33x2,1533143938758367,1_Ambig_audio_past
2018-08-01_ChildPilot33x2,1533143942899446,1_Bias_audio_warmup
2018-08-01_ChildPilot33x2,1533143945854677,1_Bias_left_video
2018-08-01_ChildPilot33x2,1533143951307145,1_Bias_right_video
2018-08-01_ChildPilot33x2,1533143957126283,1_Bias_compareVideo1_start
2018-08-01_ChildPilot33x2,1533143962482654,1_Bias_compareVideo1_still
2018-08-01_ChildPilot33x2,1533143965493981,1_Bias_compareVideo1_end
2018-08-01_ChildPilot33x2,1533143968389422,1_Bias_compareVideo2_start
2018-08-01_ChildPilot33x2,1533143973722260,1_Bias_compareVideo2_still
2018-08-01_ChildPilot33x2,1533143976735704,1_Bias_compareVideo2_end
2018-08-01_ChildPilot33x2,1533143978116790,1_Training_1_audio_future
2018-08-01_ChildPilot33x2,1533143981838085,1_Training_1_video
2018-08-01_ChildPilot33x2,1533143987327087,1_Training_1_audio_past
2018-08-01_ChildPilot33x2,1533143992460579,1_Training_3_audio_future
2018-08-01_ChildPilot33x2,1533143996272921,1_Training_3_video
2018-08-01_ChildPilot33x2,1533144001821809,1_Training_3_audio_past
2018-08-01_ChildPilot33x2,1533144006250557,1_Training_4_audio_future
2018-08-01_ChildPilot33x2,1533144009606278,1_Training_4_video
2018-08-01_ChildPilot33x2,1533144015153127,1_Training_4_audio_past
2018-08-01_ChildPilot33x2,1533144019942310,1_SameVerbTest_audio_warmup
2018-08-01_ChildPilot33x2,1533144022892251,1_SameVerbTest_left_video
2018-08-01_ChildPilot33x2,1533144028927908,1_SameVerbTest_right_video
2018-08-01_ChildPilot33x2,1533144034397985,1_SameVerbTest_compareVideo1_start
2018-08-01_ChildPilot33x2,1533144039923360,1_SameVerbTest_compareVideo1_still
2018-08-01_ChildPilot33x2,1533144042935852,1_SameVerbTest_compareVideo1_end
2018-08-01_ChildPilot33x2,1533144045788354,1_SameVerbTest_compareVideo2_start
2018-08-01_ChildPilot33x2,1533144051307460,1_SameVerbTest_compareVideo2_still
2018-08-01_ChildPilot33x2,1533144054319980,1_SameVerbTest_compareVideo2_end
2018-08-01_ChildPilot33x2,1533144062176393,2_Ambig_audio_future
2018-08-01_ChildPilot33x2,1533144066416744,2_Ambig_video
2018-08-01_ChildPilot33x2,1533144071970006,2_Ambig_audio_past
2018-08-01_ChildPilot33x2,1533144076129596,2_Bias_audio_warmup
2018-08-01_ChildPilot33x2,1533144079090058,2_Bias_left_video
2018-08-01_ChildPilot33x2,1533144085047827,2_Bias_right_video
2018-08-01_ChildPilot33x2,1533144090943937,2_Bias_compareVideo1_start
2018-08-01_ChildPilot33x2,1533144096480335,2_Bias_compareVideo1_still
2018-08-01_ChildPilot33x2,1533144099490047,2_Bias_compareVideo1_end
2018-08-01_ChildPilot33x2,1533144102082170,2_Bias_compareVideo2_start
2018-08-01_ChildPilot33x2,1533144107593005,2_Bias_compareVideo2_still
2018-08-01_ChildPilot33x2,1533144110603099,2_Bias_compareVideo2_end
2018-08-01_ChildPilot33x2,1533144112010260,2_Training_1_audio_future
2018-08-01_ChildPilot33x2,1533144115088949,2_Training_1_video
2018-08-01_ChildPilot33x2,1533144120489678,2_Training_1_audio_past
2018-08-01_ChildPilot33x2,1533144125211087,2_Training_3_audio_future
2018-08-01_ChildPilot33x2,1533144128998841,2_Training_3_video
2018-08-01_ChildPilot33x2,1533144134637062,2_Training_3_audio_past
2018-08-01_ChildPilot33x2,1533144138630296,2_Training_4_audio_future
2018-08-01_ChildPilot33x2,1533144142018630,2_Training_4_video
2018-08-01_ChildPilot33x2,1533144147692857,2_Training_4_audio_past
2018-08-01_ChildPilot33x2,1533144152506990,2_SameVerbTest_audio_warmup
2018-08-01_ChildPilot33x2,1533144155456596,2_SameVerbTest_left_video
2018-08-01_ChildPilot33x2,1533144161481206,2_SameVerbTest_right_video
2018-08-01_ChildPilot33x2,1533144167514756,2_SameVerbTest_compareVideo1_start
2018-08-01_ChildPilot33x2,1533144173123275,2_SameVerbTest_compareVideo1_still
2018-08-01_ChildPilot33x2,1533144176135474,2_SameVerbTest_compareVideo1_end
2018-08-01_ChildPilot33x2,1533144178681588,2_SameVerbTest_compareVideo2_start
2018-08-01_ChildPilot33x2,1533144184272141,2_SameVerbTest_compareVideo2_still
2018-08-01_ChildPilot33x2,1533144187283121,2_SameVerbTest_compareVideo2_end
2018-08-01_ChildPilot33x2,1533144195969820,3_Ambig_audio_future
2018-08-01_ChildPilot33x2,1533144200297661,3_Ambig_video
2018-08-01_ChildPilot33x2,1533144205983714,3_Ambig_audio_past
2018-08-01_ChildPilot33x2,1533144209760884,3_Bias_audio_warmup
2018-08-01_ChildPilot33x2,1533144212711163,3_Bias_left_video
2018-08-01_ChildPilot33x2,1533144218721459,3_Bias_right_video
2018-08-01_ChildPilot33x2,1533144224745566,3_Bias_compareVideo1_start
2018-08-01_ChildPilot33x2,1533144230342956,3_Bias_compareVideo1_still
2018-08-01_ChildPilot33x2,1533144233353580,3_Bias_compareVideo1_end
2018-08-01_ChildPilot33x2,1533144236055930,3_Bias_compareVideo2_start
2018-08-01_ChildPilot33x2,1533144241621974,3_Bias_compareVideo2_still
2018-08-01_ChildPilot33x2,1533144244633047,3_Bias_compareVideo2_end
2018-08-01_ChildPilot33x2,1533144246039845,3_Training_1_audio_future
2018-08-01_ChildPilot33x2,1533144249079897,3_Training_1_video
2018-08-01_ChildPilot33x2,1533144254746199,3_Training_1_audio_past
2018-08-01_ChildPilot33x2,1533144259544646,3_Training_3_audio_future
2018-08-01_ChildPilot33x2,1533144262881016,3_Training_3_video
2018-08-01_ChildPilot33x2,1533144268549414,3_Training_3_audio_past
2018-08-01_ChildPilot33x2,1533144272526204,3_Training_4_audio_future
2018-08-01_ChildPilot33x2,1533144275852928,3_Training_4_video
2018-08-01_ChildPilot33x2,1533144281342931,3_Training_4_audio_past
2018-08-01_ChildPilot33x2,1533144286039987,3_SameVerbTest_audio_warmup
2018-08-01_ChildPilot33x2,1533144288991708,3_SameVerbTest_left_video
2018-08-01_ChildPilot33x2,1533144294854049,3_SameVerbTest_right_video
2018-08-01_ChildPilot33x2,1533144300797179,3_SameVerbTest_compareVideo1_start
2018-08-01_ChildPilot33x2,1533144306304996,3_SameVerbTest_compareVideo1_still
2018-08-01_ChildPilot33x2,1533144309315882,3_SameVerbTest_compareVideo1_end
2018-08-01_ChildPilot33x2,1533144311974234,3_SameVerbTest_compareVideo2_start
2018-08-01_ChildPilot33x2,1533144317477988,3_SameVerbTest_compareVideo2_still
2018-08-01_ChildPilot33x2,1533144320490633,3_SameVerbTest_compareVideo2_end
2018-08-01_ChildPilot33x2,1533144328092941,4_Ambig_audio_future
2018-08-01_ChildPilot33x2,1533144332780086,4_Ambig_video
2018-08-01_ChildPilot33x2,1533144338255720,4_Ambig_audio_past
2018-08-01_ChildPilot33x2,1533144342413040,4_Bias_audio_warmup
2018-08-01_ChildPilot33x2,1533144345371621,4_Bias_left_video
2018-08-01_ChildPilot33x2,1533144351073219,4_Bias_right_video
2018-08-01_ChildPilot33x2,1533144356219567,4_Bias_compareVideo1_start
2018-08-01_ChildPilot33x2,1533144361466186,4_Bias_compareVideo1_still
2018-08-01_ChildPilot33x2,1533144364479643,4_Bias_compareVideo1_end
2018-08-01_ChildPilot33x2,1533144367225104,4_Bias_compareVideo2_start
2018-08-01_ChildPilot33x2,1533144372503396,4_Bias_compareVideo2_still
2018-08-01_ChildPilot33x2,1533144375514325,4_Bias_compareVideo2_end
2018-08-01_ChildPilot33x2,1533144376883050,4_Training_1_audio_future
2018-08-01_ChildPilot33x2,1533144379882612,4_Training_1_video
2018-08-01_ChildPilot33x2,1533144385228702,4_Training_1_audio_past
2018-08-01_ChildPilot33x2,1533144389910174,4_Training_3_audio_future
2018-08-01_ChildPilot33x2,1533144393903331,4_Training_3_video
2018-08-01_ChildPilot33x2,1533144399145950,4_Training_3_audio_past
2018-08-01_ChildPilot33x2,1533144402999655,4_Training_4_audio_future
2018-08-01_ChildPilot33x2,1533144406427587,4_Training_4_video
2018-08-01_ChildPilot33x2,1533144411574987,4_Training_4_audio_past
2018-08-01_ChildPilot33x2,1533144416552911,4_SameVerbTest_audio_warmup
2018-08-01_ChildPilot33x2,1533144419502690,4_SameVerbTest_left_video
2018-08-01_ChildPilot33x2,1533144424808306,4_SameVerbTest_right_video
2018-08-01_ChildPilot33x2,1533144430890027,4_SameVerbTest_compareVideo1_start
2018-08-01_ChildPilot33x2,1533144436503111,4_SameVerbTest_compareVideo1_still
2018-08-01_ChildPilot33x2,1533144439512510,4_SameVerbTest_compareVideo1_end
2018-08-01_ChildPilot33x2,1533144442223754,4_SameVerbTest_compareVideo2_start
