subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
2018-08-08_ChildPilot36,1533740520943189,1533741213656767,All_of_Practice_trial_1,1,0.606231,0.4486344,1,0.6846717,0.5104079
2018-08-08_ChildPilot36,1533740520959815,1533741213673395,All_of_Practice_trial_1,1,0.6050318,0.4441238,1,0.6820962,0.5122328
2018-08-08_ChildPilot36,1533740520976564,1533741213690146,All_of_Practice_trial_1,1,0.6059467,0.4427684,1,0.6870648,0.502745
2018-08-08_ChildPilot36,1533740520993189,1533741213706774,All_of_Practice_trial_1,1,0.5988508,0.4463822,1,0.6830785,0.5199987
2018-08-08_ChildPilot36,1533740521009814,1533741213723401,All_of_Practice_trial_1,1,0.6045083,0.4484477,1,0.6869765,0.5142705
2018-08-08_ChildPilot36,1533740521026437,1533741213740026,All_of_Practice_trial_1,1,0.6043487,0.4528487,1,0.6850985,0.5095748
2018-08-08_ChildPilot36,1533740521043061,1533741213756652,All_of_Practice_trial_1,1,0.6030852,0.4449876,1,0.6780188,0.5192482
2018-08-08_ChildPilot36,1533740521059812,1533741213773406,All_of_Practice_trial_1,1,0.6065533,0.4563299,1,0.6840575,0.5194206
2018-08-08_ChildPilot36,1533740521076437,1533741213790033,All_of_Practice_trial_1,1,0.6064479,0.4434501,1,0.684712,0.5145997
2018-08-08_ChildPilot36,1533740521093185,1533741213806783,All_of_Practice_trial_1,1,0.6108213,0.452648,1,0.6819795,0.5252584
2018-08-08_ChildPilot36,1533740521109687,1533741213823288,All_of_Practice_trial_1,1,0.6060426,0.448092,1,0.6909718,0.5083049
2018-08-08_ChildPilot36,1533740521126313,1533741213839916,All_of_Practice_trial_1,1,0.6069394,0.4571499,1,0.6834698,0.5063335
2018-08-08_ChildPilot36,1533740521143062,1533741213856668,All_of_Practice_trial_1,1,0.6040146,0.4555619,1,0.6776859,0.5165205
2018-08-08_ChildPilot36,1533740521159686,1533741213873293,All_of_Practice_trial_1,1,0.5961748,0.5172346,1,0.6713828,0.5596952
